"Candidate","OlderNetProfit","LaterNetProfit","ContinuousNetProfit","ContinuousReturnPercent","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousAddOnEntries","ContinuousMaxDrawdownPercent","ContinuousRecoveryFactor","ReturnDrawdown","BasicGatePass","QualityGatePass","AdjacentPass","PassingNeighbors","Decision"
"pwa_center","871.4","343.23","1215.44","12.15","1.93","1.79","269","6","1.02","10.7886","11.9118","True","True","True","pwa_lookback4;pwa_lookback8;pwa_trigger100;pwa_trigger150;pwa_risk060;pwa_coverage100;pwa_coverage150","DISCOVERY_ELIGIBLE"
"pwa_control","860.86","330.02","1191.69","11.92","1.89","1.77","265","0","1.02","10.5778","11.6863","False","False","False","","CONTROL_ONLY"
"pwa_coverage100","871.4","343.23","1215.44","12.15","1.93","1.79","269","6","1.02","10.7886","11.9118","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
"pwa_coverage150","879.69","330.02","1209.19","12.09","1.92","1.79","267","4","1.02","10.7331","11.8529","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
"pwa_lookback4","871.4","343.23","1215.44","12.15","1.93","1.79","269","6","1.02","10.7886","11.9118","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
"pwa_lookback8","871.4","343.23","1215.44","12.15","1.93","1.79","269","6","1.02","10.7886","11.9118","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
"pwa_risk025","858.35","330.02","1189.18","11.89","1.89","1.77","266","1","1.02","10.5555","11.6569","False","False","True","pwa_center","REJECT_BEFORE_HOLDOUT"
"pwa_risk060","850.44","343.23","1194.48","11.94","1.9","1.77","270","6","1.02","10.6025","11.7059","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
"pwa_trigger100","905.85","343.23","1248.56","12.49","1.98","1.8","272","9","1.02","11.0825","12.2451","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
"pwa_trigger150","861.4","343.23","1205.44","12.05","1.92","1.78","269","5","1.02","10.6998","11.8137","True","True","True","pwa_center","DISCOVERY_ELIGIBLE"
