"Candidate","BollingerDeviation","Lane","Trades","NetProfit","ProfitFactor"
"rvbd_control200","2","Reversion","38","1698.53","4.403"
"rvbd_control200","2","Momentum","315","727.94","1.38"
"rvbd_control200","2","Adaptive","58","234.1","1.75"
"rvbd_neighbor190","1.9","Reversion","35","1409.71","3.654"
"rvbd_neighbor190","1.9","Momentum","315","681","1.368"
"rvbd_neighbor190","1.9","Adaptive","56","179.72","1.605"
"rvbd_center180","1.8","Reversion","39","1045.73","2.379"
"rvbd_center180","1.8","Momentum","315","668.21","1.369"
"rvbd_center180","1.8","Adaptive","53","201.98","1.763"
"rvbd_neighbor170","1.7","Reversion","37","535.78","1.631"
"rvbd_neighbor170","1.7","Momentum","315","584.12","1.333"
"rvbd_neighbor170","1.7","Adaptive","48","140.53","1.556"
