QueueRank,Candidate,Role,Window,From,To,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
1,jsa_control,control,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,645417AAC132E4DEC24F5A923A572E0AF5999177C454C25E84FF88CAC0245069,061776CFADDE78D5A702DAF7B71BEB574D1E7B37821E6262417175FB0884C8D9,D62296612D4956FB5D6A922704FAAB65EFD5AFCC41DA57890BCF65AA4A95608E
2,jsa_control,control,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,645417AAC132E4DEC24F5A923A572E0AF5999177C454C25E84FF88CAC0245069,C0BD7EF27FA210B3629A09152033145F3C1F989A38BFCE91BCDB216966066F1E,A3F9C02F4DE89673CB4A1801486194D3DD1D2C42F844000A8AA80A021B905DCA
3,jsa_control,control,continuous_2015_2020,2015.01.01,2020.12.31,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,645417AAC132E4DEC24F5A923A572E0AF5999177C454C25E84FF88CAC0245069,6FC8117356D20A5F770E9AB6344422C79620DFF7F627A122E4273CE9E8F32275,6979BCFA3D80217357258D5804A2A03211D76697035E60989C2D68BE0455F1DF
4,jsa_risk_only_reference,risk_only_reference,older_2015_2018,2015.01.01,2018.12.31,860.86,8.61,2.09,1.79,187,1.01,8.159,8.5248,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,8877DBEB67F28169E7E04AB0E6BDE15133F70206D59D5E5AFE5346D252079884,D8D7BF7F492785961218DE1FA70189EE2E8075024F9AE87B78DB45FC09B530B3,10885015F58A069CFBAE2335A20D7D259FAB52EFC7B1211E7F746AE467ED835D
5,jsa_risk_only_reference,risk_only_reference,later_2019_2020,2019.01.01,2020.12.31,330.02,3.3,1.64,1.84,75,0.93,3.4867,3.5484,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,8877DBEB67F28169E7E04AB0E6BDE15133F70206D59D5E5AFE5346D252079884,A439AE490EF81CDACC916861C23BD7125F149C2908D016E88997CECE12A0232E,96FA0795B82055D34224E0BF1900B52178C54335B50DF1F939D6CA4270345E42
6,jsa_risk_only_reference,risk_only_reference,continuous_2015_2020,2015.01.01,2020.12.31,1191.69,11.92,1.89,1.77,265,1.02,10.5778,11.6863,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,8877DBEB67F28169E7E04AB0E6BDE15133F70206D59D5E5AFE5346D252079884,406441378FDB1E1C1435318D8E868A72B1B3AC28F5600EE583033556099FA031,B397C49300BF3D2678A83E8ED6FFDB25E5DF9263801C62FD2C052A6B36BF48F6
7,jsa_r060,risk_lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,986.83,9.87,2.38,1.88,187,1.11,8.4193,8.8919,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,77E289FCC90AEFC85352AC87EFB5C928E933A7B5E7DB09FD6769429CB54E4048,DFE72489D8841F83ABE8EFE4F15012F0BC8177796F453EFEC6A367811CCFD26B,BE98944771A96AE45AA0671BA314B149673FA720F42C187EA760D31254D4A0BA
8,jsa_r060,risk_lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,354.69,3.55,1.76,1.86,75,0.93,3.7474,3.8172,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,77E289FCC90AEFC85352AC87EFB5C928E933A7B5E7DB09FD6769429CB54E4048,AFEEB8CE2C0A4C02E3194E984C3ADA11D00169220A6C365B8D95424F116B14AA,7D3CB5B7CECD4B5A25BD29CC6261DF28B4B0AFDE0A30B882E6A8AAEAE5A4FB19
9,jsa_r060,risk_lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1327.11,13.27,2.1,1.83,265,1.06,11.2305,12.5189,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,77E289FCC90AEFC85352AC87EFB5C928E933A7B5E7DB09FD6769429CB54E4048,2E999EFE62E61B4FDF84E2836BF7FA0F471B4FED446AB6C41C45E6AA562C00EF,148009CDE3882F616056ABD977BC8EDA415FCE68FD2978F9839AF8D07EF983D7
10,jsa_center_r065,center,older_2015_2018,2015.01.01,2018.12.31,986.83,9.87,2.38,1.88,187,1.11,8.4193,8.8919,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,EE54CAC7D5A3169B136A5266E38A9354149DE6E7D184F36163711847E964647E,560F74CC3EA4382726509B92E80E6FCA4FC945293E3DA00E76CEBA73DB7838A5,2412DD382A5B8BE7B18AA325A8A2A23423459608A8B293C3FCA7680E0A9B37BF
11,jsa_center_r065,center,later_2019_2020,2019.01.01,2020.12.31,354.69,3.55,1.76,1.86,75,0.93,3.7474,3.8172,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,EE54CAC7D5A3169B136A5266E38A9354149DE6E7D184F36163711847E964647E,4AB3EE2DF44D0127A458A00DC039C4AA154189571014402F14AE98092115871E,52763E3A6260871F569F2B54A75E291AAAC1BEBACDA4D1D273F2F2A74F01847E
