QueueRank,Candidate,Role,Window,From,To,PartialRunnerEnabled,ClosePercent,TargetMultiplier,StopLockR,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
1,rvpr_control,control,older_2015_2018,2015.01.01,2018.12.31,false,80.0,2.0,0.5,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,A2C2A91E126E624598DF7FD3CD4D987F29B07DC829BA040AB46C9D21E9606100,F5C2C905DE9E456716D1E192AF7C2AA93939292243A63933BFAC6E20256114FC,29E3487D7BDC8631CE9C47FC798ED497D829D8BF84A5DC7B2146FE01EC72B7C7
2,rvpr_control,control,later_2019_2020,2019.01.01,2020.12.31,false,80.0,2.0,0.5,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,A2C2A91E126E624598DF7FD3CD4D987F29B07DC829BA040AB46C9D21E9606100,12210E510AECB6BF75DC88F9C5CD4240A6E5FEDE9F03B75ECED9AC082D8DC7E5,D71B6A2A77E8ADD74D4E476939902858AACC61D3C9CF224101D98D251D35F7F0
3,rvpr_control,control,continuous_2015_2020,2015.01.01,2020.12.31,false,80.0,2.0,0.5,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,A2C2A91E126E624598DF7FD3CD4D987F29B07DC829BA040AB46C9D21E9606100,D248D0B68A206D661203CFFB4AB403B70B1A968AFAE717722D924370EC213A22,7B55DBBCF702A7289505D57DFEBBD7FC931BBB50EFEFD2C93A4DA966FC970786
4,rvpr_center,center,older_2015_2018,2015.01.01,2018.12.31,true,80.0,2.0,0.5,995.0,9.95,2.4,1.9,191,1.12,8.489,8.8839,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,3D115B1459EB6D701E2F48115A06A9AEBC66593579AC0115EC329CA077AC05FB,C67E95FE95E6825CEB92C7BCE920514B4D3C0674690791AA009CC6FCDE3BAC3E,8B40DC460074938BE1FC00075B1030450CAD60508246FA14D37F7F3429592D34
5,rvpr_center,center,later_2019_2020,2019.01.01,2020.12.31,true,80.0,2.0,0.5,348.78,3.49,1.73,1.88,76,0.93,3.6849,3.7527,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,3D115B1459EB6D701E2F48115A06A9AEBC66593579AC0115EC329CA077AC05FB,82A2A913A644E68FB603D3F8BA047D08258FEF6411D30E191983CC8CB2F95B31,C5BFD07D3A7A21EC8F79AA6C40F06779F72D2503A6A4766BE6905AA8831CED3F
6,rvpr_center,center,continuous_2015_2020,2015.01.01,2020.12.31,true,80.0,2.0,0.5,1325.39,13.25,2.1,1.84,270,1.06,11.216,12.5,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,3D115B1459EB6D701E2F48115A06A9AEBC66593579AC0115EC329CA077AC05FB,72609699E6192E422C5CBE97DA82047ED511D8375DED6069FADC313B4A3A636A,F71657912E6D467107B9BA3BE6E4008CA73F059D80C38DC183A949AA92C6E511
7,rvpr_close75,close_neighbor_low,older_2015_2018,2015.01.01,2018.12.31,true,75.0,2.0,0.5,977.54,9.78,2.36,1.88,191,1.12,8.3401,8.7321,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,61E7532A7E3A745BEFD6764ABFA8514510BB53E11E9916EB3AE17E47DC1DB3D2,0B23C486510DEDA72A8A9E261EDA2B99AB3E1A90BF5EA98CECE8DB8088E025BD,7623D592E8B05A3B1970CF8858DD6F5832FB284C7D135CEB5078EAC0AD92B362
8,rvpr_close75,close_neighbor_low,later_2019_2020,2019.01.01,2020.12.31,true,75.0,2.0,0.5,341.02,3.41,1.69,1.86,76,0.93,3.603,3.6667,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,61E7532A7E3A745BEFD6764ABFA8514510BB53E11E9916EB3AE17E47DC1DB3D2,6C589300EC4D4CB7C1F761CA7BB0505AD512BE0E721851E164E341B7DAA15541,7316EF5A81D3A9FF746319F9F4DD863039706CD7D1E2BF5C2883D81F03AAF855
9,rvpr_close75,close_neighbor_low,continuous_2015_2020,2015.01.01,2020.12.31,true,75.0,2.0,0.5,1300.22,13.0,2.06,1.82,270,1.06,11.003,12.2642,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,61E7532A7E3A745BEFD6764ABFA8514510BB53E11E9916EB3AE17E47DC1DB3D2,FC6508B40CA4250F706408A667EE0FF0261E88C8B60C6F4164F59D2E51514EB9,EC0A2353B6BF65393C329F721791166B8DC2D7D8C13DA728EF08F6422A646021
10,rvpr_close85,close_neighbor_high,older_2015_2018,2015.01.01,2018.12.31,true,85.0,2.0,0.5,995.0,9.95,2.4,1.9,191,1.12,8.489,8.8839,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844,040DD87D418F45325778C1156731BE0C846F9ACC85BE942093208D994A759C74,2A0461F3AEA88F226C2C24DA081394077272B10CF449634588CF26B2D8A07312
11,rvpr_close85,close_neighbor_high,later_2019_2020,2019.01.01,2020.12.31,true,85.0,2.0,0.5,348.78,3.49,1.73,1.88,76,0.93,3.6849,3.7527,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844,92A076C00AD15E6F37E132F4D65119107EDCF6644F62EA13ED2C33A94907B768,6A57F560730C4C78C31D283D4D0B10666B34A3BEA52E6ED98E73A1F2496EBC15
12,rvpr_close85,close_neighbor_high,continuous_2015_2020,2015.01.01,2020.12.31,true,85.0,2.0,0.5,1325.39,13.25,2.1,1.84,270,1.06,11.216,12.5,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844,995106B64D7F4AF2A1301E2FA95A55F30D8F89AC6D80690C50D1AB32F3BD52F8,0434663CACEDADF69E4680A26B14AEC81AE3EA9602D12A801217BEA884D75471
13,rvpr_target175,target_neighbor_low,older_2015_2018,2015.01.01,2018.12.31,true,80.0,1.75,0.5,1070.15,10.7,2.58,1.96,191,1.11,9.1302,9.6396,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,CCE7141455CC3393E55E7FA7A322FF11A9D1704051EA23C609BD7D816971DBB5,2D7257AD2DDBCA3EB7464515CDF540573CB6159652D96E3D3E88DA57BD867CB1,5CAF5AE4B1AC91E87117DDB5330603093D92FBB86F7EE32A81A7581520B0AC4C
14,rvpr_target175,target_neighbor_low,later_2019_2020,2019.01.01,2020.12.31,true,80.0,1.75,0.5,348.78,3.49,1.73,1.88,76,0.93,3.6849,3.7527,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,CCE7141455CC3393E55E7FA7A322FF11A9D1704051EA23C609BD7D816971DBB5,8E37D896CAFF8ECAF1696631128D3B8ED00589288154C2F98CF6C4893302E7A5,BE8B6AE2BFD4FBE1DE572282E84A8F179C0A08885587337B3B06615A9089B3E8
15,rvpr_target175,target_neighbor_low,continuous_2015_2020,2015.01.01,2020.12.31,true,80.0,1.75,0.5,1392.02,13.92,2.2,1.87,270,1.05,11.7798,13.2571,614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719,37F90A3C23CEF638AEE689807E01F7EC220EF01EC999CA6D41D6F8BE6906A810,CCE7141455CC3393E55E7FA7A322FF11A9D1704051EA23C609BD7D816971DBB5,0FEB091CBDA967D9D60EE5B0DF0F2DC5A05D27001BD3493DCF63D2F898615432,AA07D1A2F1509D7455AF5ACA013BED38FA8E7DAA026322FA19D1A55C5F3B6E3E
