"QueueRank","Candidate","Window","Status","Attempts","IdentityRetries","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","rvrq_control","older_2015_2018","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","AD464ACC7A51752F0CE35C35BBCC0A1B8E971F984711ED9CB27957FA65117343","028339DC03FAF31380BC86AD4AFC9AC0BEE6155EE4A2E548F7B8C0939838954A","True","False","2026-07-19T19:43:02","2026-07-19T19:43:37"
"2","rvrq_control","middle_2019_2022","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","17AC6631D534AC77DA1915CE378F26486932D014F7BB20CE3806EE69E9722AFC","93C57BB4212DCA5C7EF95F5B5F97CB88E900FEE3BBAD19340E8FABA14E80C550","True","False","2026-07-19T19:43:02","2026-07-19T19:43:32"
"3","rvrq_control","recent_2023_2026","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","F8D08B48FDCFDBFC964C52992F0D6D00D19A319AA1C3EC30DD7D14DFB081EAB2","BF4429787B5B0DB62896585237C65FE5ADF234193F81A3B1DBF0F26F8EEC88DD","True","False","2026-07-19T19:43:02","2026-07-19T19:43:32"
"4","rvrq_control","continuous_2015_2026","REPORT_FOUND","2","1","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","7282C8243DC149CCAFA9B4B3639469A0356D32CFE81B31294BF01A64AC8156E0","8D633DBF24B79B9D60864BF31D820DAC5BD9C0B6EFF5F6A7662FDD2BEF9B6E9E","True","False","2026-07-19T19:46:01","2026-07-19T19:46:32"
"5","rvrq_wick20","older_2015_2018","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","ECB02C90EB6D8834795C5EBD4B63E3758AD9087A00108DFE8FCEEA2479ADA0AD","E625C6419931D6EF5A16110DCF824ECE2A92ECE25AE73291047D506CC197F170","True","False","2026-07-19T19:43:37","2026-07-19T19:44:09"
"6","rvrq_wick20","middle_2019_2022","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","19CC90E4A5B9D09756CEDD40083925D1090A710EC7DCE2A38A137154A2DE92DD","5BA175AD8714DCDD98C962AE179A83D514AF85E50541CDA2DB37B272BD53E777","True","False","2026-07-19T19:43:32","2026-07-19T19:44:01"
"7","rvrq_wick20","recent_2023_2026","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","E818DC05B64B11E83D80AA17C96B9B4D0127A3CD09B01B6D3ABEAE7354327EF1","B8532C695F32E7CE022AED000A35D152DE4E96ED07BB37E56B2017AC333E009C","True","False","2026-07-19T19:43:32","2026-07-19T19:44:01"
"8","rvrq_wick20","continuous_2015_2026","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","7320C962B6A5E1CEDD45B6AF6147862EE7B4D2A261000BDA11D9CA5B407C940A","E3A9B0919CFEA2A9F0981700709AEB9DADFB13DDC90163DF1AD2042693A85A60","True","False","2026-07-19T19:43:31","2026-07-19T19:44:07"
"9","rvrq_wick25","older_2015_2018","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","043E0FB2A0A35EF0E8081A7BCC57F00F0B49F5D431B7D2F121C2C263444C5090","764E3AA0B9C605D5E973031CB07C66B520828103B7E722AFA9ACEC6063E59647","True","False","2026-07-19T19:44:09","2026-07-19T19:44:38"
"10","rvrq_wick25","middle_2019_2022","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","A7C3FD64A149C711395C5D8BD931810A719B28CBA2FD6CFA61786E8968983F3F","62CBC83163082A12060BB76B4A04CF5467F62F80406DF544AA6E001C6D351528","True","False","2026-07-19T19:44:01","2026-07-19T19:44:27"
"11","rvrq_wick25","recent_2023_2026","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","4D244EA589C841D4B5695E822FBD924A5E38D02BC2674CC812429D11424BBE78","AEC392B9E42CEDB56D409C32CABBEBF3398609B0241E04A0EA17181EBE2E43A8","True","False","2026-07-19T19:44:01","2026-07-19T19:44:28"
"12","rvrq_wick25","continuous_2015_2026","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","BC10051A6B94C6FF12E716BDAF6318841A7558657794A940DF3B0B80CBE04E41","4EEFE95A8A6C0C6D97FF2ACB0A0823D04F7F0885438FD95B4C8FB04804F94435","True","False","2026-07-19T19:44:07","2026-07-19T19:44:47"
"13","rvrq_wick30","older_2015_2018","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","F7CD30368773839B6D7AEE7560F956B727F9CCD6319E5C105F4993B435CB4882","E5DCC06177207D42F0B0D4A98016483CC2DE69A3659BF6B09450EBAFCB3BDE5B","True","False","2026-07-19T19:44:38","2026-07-19T19:45:04"
"14","rvrq_wick30","middle_2019_2022","REPORT_FOUND","1","0","BD1E4035A144127BF8120B7A3C31F0A6585CC30CB508F4D353C45BD7E87ED563","1E0FC0682515FF0E8230E849462BD96B7CA1A5F4C2E8F16170641906E0CE1707","01747F64397A9AA0706F1242F3A209EA4BA91F07B07C14DB85587B7D9288D831","2FB6907CDB951B9D5F8CB5F4D0AD386EE65C2FA94D09F02794EA258B8EE21472","True","False","2026-07-19T19:44:27","2026-07-19T19:44:56"
