"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","RetracementEntryEnabled","RetracementEntryOffsetATR","RetracementEntryLifetimeBars","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rre_control","1","control","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","0.00","1","0.15","0.45","0.15","0.75","rre_control_older_2015_2018_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\001_rre_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\001_rre_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_control_older_2015_2018_m1","57EDCF7908F2023B2EAEBEC6BAB7C1F8192A14EF432F7C09EB4EEF747EB34301","1C79D7108911B0811A6C6BABFF3550AA3B6A93D9F5EC893631A0324A91271430","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"2","rre_control","1","control","reversion_retracement_entry_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","0.00","1","0.15","0.45","0.15","0.75","rre_control_later_2019_2020_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\002_rre_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\002_rre_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_control_later_2019_2020_m1","E2C7E598CE14CFC079C55E33A1CFE087F6B23B50A33E39BDA344060AAEC83E79","1C79D7108911B0811A6C6BABFF3550AA3B6A93D9F5EC893631A0324A91271430","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"3","rre_control","1","control","reversion_retracement_entry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","0.00","1","0.15","0.45","0.15","0.75","rre_control_continuous_2015_2020_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\003_rre_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\003_rre_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_control_continuous_2015_2020_m1","387892EAC3DFACE044D021C37EA64F21B421F345A64D1B5BEF5A58D5E6C819AF","1C79D7108911B0811A6C6BABFF3550AA3B6A93D9F5EC893631A0324A91271430","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"4","rre_offset10","2","lower_offset_support","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.10","1","0.15","0.45","0.15","0.75","rre_offset10_older_2015_2018_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\004_rre_offset10_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\004_rre_offset10_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset10_older_2015_2018_m1","E2AF611C82E36D6FE7A0A93A0D0B3169EF56D549D5D50D1656C1DC90C00843AA","978E6432BECD304F7BB822DB971720C0B326B9D356EB5DD4B1EEBDAB8C6E2617","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"5","rre_offset10","2","lower_offset_support","reversion_retracement_entry_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.10","1","0.15","0.45","0.15","0.75","rre_offset10_later_2019_2020_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\005_rre_offset10_later_2019_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\005_rre_offset10_later_2019_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset10_later_2019_2020_m1","1D3FA030A5DCD9E44B2F3E3629017E9CC74ED3B2E0F6FACE77D3E141C8829028","978E6432BECD304F7BB822DB971720C0B326B9D356EB5DD4B1EEBDAB8C6E2617","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"6","rre_offset10","2","lower_offset_support","reversion_retracement_entry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.10","1","0.15","0.45","0.15","0.75","rre_offset10_continuous_2015_2020_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\006_rre_offset10_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\006_rre_offset10_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset10_continuous_2015_2020_m1","182514ED51A77122D07A637230AC7CB0FB880304A3917BFDF205BCAE5B87E90B","978E6432BECD304F7BB822DB971720C0B326B9D356EB5DD4B1EEBDAB8C6E2617","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"7","rre_center15","3","center","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.15","1","0.15","0.45","0.15","0.75","rre_center15_older_2015_2018_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\007_rre_center15_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\007_rre_center15_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_center15_older_2015_2018_m1","DF560037EC488ECA22CEB9A67980B36F1151EC44D55D9851B875C83754557339","FCC697383A81870B8454BA73687A56CA8E346AE56829D6E8372B79BF2C5592E2","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"8","rre_center15","3","center","reversion_retracement_entry_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.15","1","0.15","0.45","0.15","0.75","rre_center15_later_2019_2020_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\008_rre_center15_later_2019_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\008_rre_center15_later_2019_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_center15_later_2019_2020_m1","1643CE30F6E0AE7A1DCC32B9456DA087757F6DC355C1F25CE25D66CCA66C1E8A","FCC697383A81870B8454BA73687A56CA8E346AE56829D6E8372B79BF2C5592E2","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"9","rre_center15","3","center","reversion_retracement_entry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.15","1","0.15","0.45","0.15","0.75","rre_center15_continuous_2015_2020_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\009_rre_center15_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\009_rre_center15_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_center15_continuous_2015_2020_m1","439AAE9F9DEE51F1ACA5E5D61A3A539400A75B20D2AFA0F21805817DAC0DBC82","FCC697383A81870B8454BA73687A56CA8E346AE56829D6E8372B79BF2C5592E2","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
"10","rre_offset20","4","upper_offset_support","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.20","1","0.15","0.45","0.15","0.75","rre_offset20_older_2015_2018_m1","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\010_rre_offset20_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\configs\010_rre_offset20_older_2015_2018_m1.ini","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset20_older_2015_2018_m1","8C8F094EEBBE97F172785EBCC5F21DDA5281254E5ABB0DF3339B4776AEC3B44B","0557F1E0193F72109C5A0F8E97085C8C9B9C59687F02245E886AED164307C9E4","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","Frozen pre-2021 reversion retracement-entry discovery. Disabled control must reproduce the exact leader. Every enabled row must remain profitable in both eras. The 0.15 ATR / 1-bar center must be no worse in either era, improve continuous net >=3% and CAGR >=0.05 point, retain >=97% of PF/recovery/return-DD and trades, and keep DD <=control +0.10 point. Both 0.10/0.20 neighbors must improve net with frozen retention gates. The 2-bar row must retain >=90% of center quality. No post-result rescue."
