"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StrongSignalRiskEnabled","RewardQualityEnabled","MinimumRiskReward","StrongRiskPercent","StrongBodyRatio","StrongLotCap","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rqri_control","1","control","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","false","1.50","0.70","0.25","0.15","rqri_control_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\001_rqri_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\001_rqri_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_older_2015_2018_m1","2D295A2A21629B59222B73FE9078A333C1A8918396ECD444A370A743EE5D7B8D","8F8F191FA2B7D36AA1430836D1B1878B489F2C1867F8A54FF42022E609DC95CD","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"2","rqri_control","1","control","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","false","1.50","0.70","0.25","0.15","rqri_control_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\002_rqri_control_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\002_rqri_control_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_discovery_2019_2020_m1","99D52E22A69A00AA88C2C412F94002325187C1E432024E167F9649A0E698793D","8F8F191FA2B7D36AA1430836D1B1878B489F2C1867F8A54FF42022E609DC95CD","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"3","rqri_control","1","control","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","false","1.50","0.70","0.25","0.15","rqri_control_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\003_rqri_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\003_rqri_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_continuous_2015_2020_m1","BFEBF8DF63588635E882638A1B60EE6A0A5DD802CB8F54B7835513C2ED4F8C0F","8F8F191FA2B7D36AA1430836D1B1878B489F2C1867F8A54FF42022E609DC95CD","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"4","rqri_body070","2","body_risk_diagnostic","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","false","1.50","0.70","0.25","0.15","rqri_body070_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\004_rqri_body070_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\004_rqri_body070_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_older_2015_2018_m1","0CCFAA8ABCEA566C2B2AE20A2F5AD98542A8393F11B2A5049B7E99E74E75F4C7","E5C8362F5092EDD08660FA3A6607F052D319A3AB401DE6BA619F8AF3F6BC8871","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"5","rqri_body070","2","body_risk_diagnostic","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","false","1.50","0.70","0.25","0.15","rqri_body070_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\005_rqri_body070_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\005_rqri_body070_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_discovery_2019_2020_m1","897CBC9769A690CC979146F4FBBDE560981C098C9363555F16C0CF6ED3CB2BA4","E5C8362F5092EDD08660FA3A6607F052D319A3AB401DE6BA619F8AF3F6BC8871","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"6","rqri_body070","2","body_risk_diagnostic","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","false","1.50","0.70","0.25","0.15","rqri_body070_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\006_rqri_body070_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\006_rqri_body070_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_continuous_2015_2020_m1","FD536A8517FA80790AD6C0C7130D02C4E53EB414AE74635905C14FDAEEAC0845","E5C8362F5092EDD08660FA3A6607F052D319A3AB401DE6BA619F8AF3F6BC8871","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"7","rqri_rr135","3","reward_lower","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.35","0.70","0.25","0.15","rqri_rr135_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\007_rqri_rr135_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\007_rqri_rr135_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_older_2015_2018_m1","5EE3CF55120B38BB361DB5F3693DFD52F6BE2B240BE070FBA3399277F27E9BD8","F866851D9C4B0E004A037559FEE71EAB1A4BA923DE77B146ED0742AC6E807671","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"8","rqri_rr135","3","reward_lower","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.35","0.70","0.25","0.15","rqri_rr135_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\008_rqri_rr135_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\008_rqri_rr135_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_discovery_2019_2020_m1","106264D6E38BD3B7DCDB08906C57C14E83A15A86C694E0A0CE97C02059C047A3","F866851D9C4B0E004A037559FEE71EAB1A4BA923DE77B146ED0742AC6E807671","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"9","rqri_rr135","3","reward_lower","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.35","0.70","0.25","0.15","rqri_rr135_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\009_rqri_rr135_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\009_rqri_rr135_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_continuous_2015_2020_m1","C571E13851BF8B2AE401ED6158F48239DCD18093A13E1516C0FEACD56151840E","F866851D9C4B0E004A037559FEE71EAB1A4BA923DE77B146ED0742AC6E807671","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"10","rqri_center150_070","4","center","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.50","0.70","0.25","0.15","rqri_center150_070_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\010_rqri_center150_070_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\010_rqri_center150_070_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_older_2015_2018_m1","DAD7E33B6ED70C330DE4F4DF27C775B93E5B559D392A09C652B330AC41ADDDF1","A1F00E46B8A8893F818837CA6F412703B4B96A414D37BD1A5DCFC806030E14AC","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
