"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StrongSignalRiskEnabled","RewardQualityEnabled","MinimumRiskReward","StrongRiskPercent","StrongBodyRatio","StrongLotCap","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","rqri_control","1","control","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","false","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_older_2015_2018_m1.htm","8F8F191FA2B7D36AA1430836D1B1878B489F2C1867F8A54FF42022E609DC95CD","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"2","rqri_control","1","control","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","false","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_discovery_2019_2020_m1.htm","8F8F191FA2B7D36AA1430836D1B1878B489F2C1867F8A54FF42022E609DC95CD","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"3","rqri_control","1","control","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","false","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_continuous_2015_2020_m1.htm","8F8F191FA2B7D36AA1430836D1B1878B489F2C1867F8A54FF42022E609DC95CD","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"4","rqri_body070","2","body_risk_diagnostic","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","false","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_older_2015_2018_m1.htm","E5C8362F5092EDD08660FA3A6607F052D319A3AB401DE6BA619F8AF3F6BC8871","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","8.7826"
"5","rqri_body070","2","body_risk_diagnostic","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","false","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_discovery_2019_2020_m1.htm","E5C8362F5092EDD08660FA3A6607F052D319A3AB401DE6BA619F8AF3F6BC8871","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","3.7494"
"6","rqri_body070","2","body_risk_diagnostic","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","false","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_continuous_2015_2020_m1.htm","E5C8362F5092EDD08660FA3A6607F052D319A3AB401DE6BA619F8AF3F6BC8871","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","11.5925"
"7","rqri_rr135","3","reward_lower","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.35","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_older_2015_2018_m1.htm","F866851D9C4B0E004A037559FEE71EAB1A4BA923DE77B146ED0742AC6E807671","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","8.7826"
"8","rqri_rr135","3","reward_lower","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.35","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_discovery_2019_2020_m1.htm","F866851D9C4B0E004A037559FEE71EAB1A4BA923DE77B146ED0742AC6E807671","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","3.7494"
"9","rqri_rr135","3","reward_lower","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.35","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_continuous_2015_2020_m1.htm","F866851D9C4B0E004A037559FEE71EAB1A4BA923DE77B146ED0742AC6E807671","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","11.5925"
"10","rqri_center150_070","4","center","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_older_2015_2018_m1.htm","A1F00E46B8A8893F818837CA6F412703B4B96A414D37BD1A5DCFC806030E14AC","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","8.7826"
"11","rqri_center150_070","4","center","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_discovery_2019_2020_m1.htm","A1F00E46B8A8893F818837CA6F412703B4B96A414D37BD1A5DCFC806030E14AC","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","3.7494"
"12","rqri_center150_070","4","center","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.50","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_continuous_2015_2020_m1.htm","A1F00E46B8A8893F818837CA6F412703B4B96A414D37BD1A5DCFC806030E14AC","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","11.5925"
"13","rqri_rr165","5","reward_upper","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.65","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_older_2015_2018_m1.htm","E7CF0BE525D6C8067CCEFBB5663FD58CF4D6F3B894C54874BC0FB56C6C717FEB","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","8.7826"
"14","rqri_rr165","5","reward_upper","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.65","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_discovery_2019_2020_m1.htm","E7CF0BE525D6C8067CCEFBB5663FD58CF4D6F3B894C54874BC0FB56C6C717FEB","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","3.7494"
"15","rqri_rr165","5","reward_upper","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.65","0.70","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_continuous_2015_2020_m1.htm","E7CF0BE525D6C8067CCEFBB5663FD58CF4D6F3B894C54874BC0FB56C6C717FEB","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","11.5925"
"16","rqri_risk065","6","risk_lower","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.50","0.65","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_older_2015_2018_m1.htm","BAF6102D893C2E7B105E5A00D7CD47E83B768C6F64D72C52F10926E90590B0C8","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","8.7826"
"17","rqri_risk065","6","risk_lower","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.50","0.65","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_discovery_2019_2020_m1.htm","BAF6102D893C2E7B105E5A00D7CD47E83B768C6F64D72C52F10926E90590B0C8","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","3.7494"
"18","rqri_risk065","6","risk_lower","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.50","0.65","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_continuous_2015_2020_m1.htm","BAF6102D893C2E7B105E5A00D7CD47E83B768C6F64D72C52F10926E90590B0C8","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","11.5925"
"19","rqri_risk075","7","risk_upper","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.50","0.75","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_older_2015_2018_m1.htm","AD0D8B345D67C32B041DD02B0C8A657E0A94D2184C4000FFFDD5773FDF8C3E46","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","8.7826"
"20","rqri_risk075","7","risk_upper","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.50","0.75","0.25","0.15","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_discovery_2019_2020_m1.htm","AD0D8B345D67C32B041DD02B0C8A657E0A94D2184C4000FFFDD5773FDF8C3E46","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","3.7494"
