"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","FeatureEnabled","SoloStrongSignalMaximumPositionLots","BaseStrongSignalMaximumPositionLots","StrongSignalBodyRatio","ReversionRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rvsolo_control015","1","exact_leader_control","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","0.18","0.15","0.25","0.45","0.75","rvsolo_control015_older_2015_2018_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\001_rvsolo_control015_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\001_rvsolo_control015_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_control015_older_2015_2018_m1","1107DCAA38E2A9163DAF974A7EC1AC9CF9092E4C6FE566791F4CE93DA322119E","490AE13BD16E95EF4AA78ED7AC95DBCE1852271C0F9D05D6A665363B76F798E5","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"2","rvsolo_control015","1","exact_leader_control","reversion_solo_strong_signal_lot_cap_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","0.18","0.15","0.25","0.45","0.75","rvsolo_control015_discovery_2019_2020_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\002_rvsolo_control015_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\002_rvsolo_control015_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_control015_discovery_2019_2020_m1","117FA8C042C45E907316E68E2BB0B4E18B055D9AA697B781195E433237B73BDF","490AE13BD16E95EF4AA78ED7AC95DBCE1852271C0F9D05D6A665363B76F798E5","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"3","rvsolo_control015","1","exact_leader_control","reversion_solo_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","0.18","0.15","0.25","0.45","0.75","rvsolo_control015_continuous_2015_2020_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\003_rvsolo_control015_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\003_rvsolo_control015_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_control015_continuous_2015_2020_m1","D7A98CAEEA439D59839D450401D7BB5D858496CE25759D81A401FB2F993C7A25","490AE13BD16E95EF4AA78ED7AC95DBCE1852271C0F9D05D6A665363B76F798E5","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"4","rvsolo_low017","2","lower_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.17","0.15","0.25","0.45","0.75","rvsolo_low017_older_2015_2018_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\004_rvsolo_low017_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\004_rvsolo_low017_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_low017_older_2015_2018_m1","193AB667C072492E99D69CDCF83D4165B8BD1CAC95BB020E4761E7F6F1EA8A61","60FADB3D683883ECEEB95FDC483D14340B05CECBDB5B86E63399FBBC7BA646DF","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"5","rvsolo_low017","2","lower_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.17","0.15","0.25","0.45","0.75","rvsolo_low017_discovery_2019_2020_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\005_rvsolo_low017_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\005_rvsolo_low017_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_low017_discovery_2019_2020_m1","C08C695789A2CCF5C2D3FFDAC350D90FBB383BFCA5676DD7DD5131C0F88818D9","60FADB3D683883ECEEB95FDC483D14340B05CECBDB5B86E63399FBBC7BA646DF","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"6","rvsolo_low017","2","lower_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.17","0.15","0.25","0.45","0.75","rvsolo_low017_continuous_2015_2020_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\006_rvsolo_low017_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\006_rvsolo_low017_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_low017_continuous_2015_2020_m1","051C607825FF51AED85C156DBDB3830361C74C745DDB5382065E5FF200EA3D53","60FADB3D683883ECEEB95FDC483D14340B05CECBDB5B86E63399FBBC7BA646DF","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"7","rvsolo_center018","3","fixed_center","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.18","0.15","0.25","0.45","0.75","rvsolo_center018_older_2015_2018_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\007_rvsolo_center018_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\007_rvsolo_center018_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_center018_older_2015_2018_m1","45605086CA28E8F4D9DECAAF95769DD8A33A6ECB69F0E26E598A3150DED05B49","E97ECCF679738BEA81F6515B4CB2CAAAFCDD43BED4382C2AE470AC17A0CF324E","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"8","rvsolo_center018","3","fixed_center","reversion_solo_strong_signal_lot_cap_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.18","0.15","0.25","0.45","0.75","rvsolo_center018_discovery_2019_2020_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\008_rvsolo_center018_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\008_rvsolo_center018_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_center018_discovery_2019_2020_m1","BA2A2BB263D3ADFFCE447C48A045490C5AB04C62BF4360BE9FA6C089F088BBD2","E97ECCF679738BEA81F6515B4CB2CAAAFCDD43BED4382C2AE470AC17A0CF324E","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"9","rvsolo_center018","3","fixed_center","reversion_solo_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.18","0.15","0.25","0.45","0.75","rvsolo_center018_continuous_2015_2020_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\009_rvsolo_center018_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\009_rvsolo_center018_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_center018_continuous_2015_2020_m1","9E7AD37DC86D886773158A0E86AE2403F6AB561D4C0165B0C26D024AF6FA3F6B","E97ECCF679738BEA81F6515B4CB2CAAAFCDD43BED4382C2AE470AC17A0CF324E","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
"10","rvsolo_high019","4","upper_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.19","0.15","0.25","0.45","0.75","rvsolo_high019_older_2015_2018_m1","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\010_rvsolo_high019_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\configs\010_rvsolo_high019_older_2015_2018_m1.ini","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_high019_older_2015_2018_m1","C398F32C6BB1055C062008AC8D3F2FFED2D6FD7F243B070C096BCA05FD873CA8","BE08029417C850A357C05001C8A62048757BC0F7D2EED7A1CDA7C4FA479C2773","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","Discovery only. Fixed 0.18 solo cap must be profitable, improve both disjoint eras by at least 3%, improve continuous net by at least 4.5% and CAGR by 0.08 point, keep exact trade count, keep PF/recovery/return-to-drawdown no worse, and keep DD <=1.25% and <=control+0.10 point. At least one 0.17 or 0.19 neighbor must improve both eras, continuous net >=3%, CAGR >=0.05 point, retain PF/recovery/return-DD >=98%, exact trades, and the same DD limit. No alternate-center selection or threshold rescue after observation."
