"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","FeatureEnabled","SoloStrongSignalMaximumPositionLots","BaseStrongSignalMaximumPositionLots","StrongSignalBodyRatio","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","rvsolo_control015","1","exact_leader_control","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","0.18","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_control015_older_2015_2018_m1.htm","490AE13BD16E95EF4AA78ED7AC95DBCE1852271C0F9D05D6A665363B76F798E5","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"2","rvsolo_control015","1","exact_leader_control","reversion_solo_strong_signal_lot_cap_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","0.18","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_control015_discovery_2019_2020_m1.htm","490AE13BD16E95EF4AA78ED7AC95DBCE1852271C0F9D05D6A665363B76F798E5","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"3","rvsolo_control015","1","exact_leader_control","reversion_solo_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","0.18","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_control015_continuous_2015_2020_m1.htm","490AE13BD16E95EF4AA78ED7AC95DBCE1852271C0F9D05D6A665363B76F798E5","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"4","rvsolo_low017","2","lower_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.17","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_low017_older_2015_2018_m1.htm","60FADB3D683883ECEEB95FDC483D14340B05CECBDB5B86E63399FBBC7BA646DF","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","1460","3.9973","1056.38","11056.38","10.56","2.64","2.54","1.98","5.74","5.43","45.65","184","6","121.89","1.15","8.6667"
"5","rvsolo_low017","2","lower_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.17","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_low017_discovery_2019_2020_m1.htm","60FADB3D683883ECEEB95FDC483D14340B05CECBDB5B86E63399FBBC7BA646DF","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","730","1.9986","388.33","10388.33","3.88","1.94","1.92","1.98","5.25","5.64","47.3","74","6","94.65","0.93","4.1028"
"6","rvsolo_low017","2","lower_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.17","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_low017_continuous_2015_2020_m1.htm","60FADB3D683883ECEEB95FDC483D14340B05CECBDB5B86E63399FBBC7BA646DF","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","2191","5.9986","1417.85","11417.85","14.18","2.36","2.23","1.91","5.43","5.15","45.98","261","6","121.89","1.15","11.6322"
"7","rvsolo_center018","3","fixed_center","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.18","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_center018_older_2015_2018_m1.htm","E97ECCF679738BEA81F6515B4CB2CAAAFCDD43BED4382C2AE470AC17A0CF324E","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","1460","3.9973","1058.66","11058.66","10.59","2.65","2.55","1.98","5.75","5.43","45.65","184","6","124.23","1.17","8.5218"
"8","rvsolo_center018","3","fixed_center","reversion_solo_strong_signal_lot_cap_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.18","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_center018_discovery_2019_2020_m1.htm","E97ECCF679738BEA81F6515B4CB2CAAAFCDD43BED4382C2AE470AC17A0CF324E","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","730","1.9986","388.33","10388.33","3.88","1.94","1.92","1.98","5.25","5.64","47.3","74","6","94.65","0.93","4.1028"
"9","rvsolo_center018","3","fixed_center","reversion_solo_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.18","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_center018_continuous_2015_2020_m1.htm","E97ECCF679738BEA81F6515B4CB2CAAAFCDD43BED4382C2AE470AC17A0CF324E","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","2191","5.9986","1416.5","11416.5","14.16","2.36","2.23","1.9","5.43","5.09","45.98","261","6","124.23","1.17","11.4022"
"10","rvsolo_high019","4","upper_neighbor","reversion_solo_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.19","0.15","0.25","PARSED","outputs\three_lane_reversion_solo_strong_signal_lot_cap_discovery_model1_package\reports_here\rvsolo_high019_older_2015_2018_m1.htm","BE08029417C850A357C05001C8A62048757BC0F7D2EED7A1CDA7C4FA479C2773","726BCABFA64C25FA3D22E78B41AB4868EA8D5235609294F7ED68DC3DB9088EEE","10000","1460","3.9973","1060.94","11060.94","10.61","2.65","2.55","1.98","5.77","5.43","45.65","184","6","126.57","1.2","8.3822"
