"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageConfigSha256","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","ReportSha256","ReportIdentityPath","ReportIdentityReused","Started","Finished"
"1","1","rvsg_control5","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","962C4F7321E16362F9F13A601D02D040C33E3E0B64C9646E006958758108280E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","58A78B240762946E272BA77058BD1D4D7E4C86B12D1F9100AA2876EE52D111CB","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_older_2015_2018_m1.identity.json","False","2026-07-20T12:50:09","2026-07-20T12:50:34"
"2","2","rvsg_control5","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","60375C450C2D1BE02A2ACAC6F3591F4FED91F9CF34F1CF8E5ACC2D81F50DAC9F","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","4761ABDA7E69FC722080EE59F6A261A84104660C5C34E9052D064FCC9996E257","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:46:22","2026-07-20T12:47:01"
"3","3","rvsg_control5","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","E9C2F1351AC16098C7B08656BB40E3B2B05C1DA01AA5B0EE86B5017444448339","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","CE46AF40FA3D80CC6A0AEB1E36D3F6AA2CA29EEA10ED9BB0AE804DD101FA7A4C","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:46:23","2026-07-20T12:47:08"
"4","4","rvsg_stop2","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","8F68A0E093986C149C623319A31C8CAA8B07438AF7FCA4ADF5F4679D858933D5","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","06A46EECE71A1EC0CF6CEDEEBD1E2951E86966DFE38AA06ED1679B51D4AF58CE","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_older_2015_2018_m1.identity.json","False","2026-07-20T12:46:23","2026-07-20T12:47:07"
"1","5","rvsg_stop2","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","9A101624E5154AB41217C00A8E9E49019FB3C2FAF826D5AE21689B8D98228807","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","CBB4298016EC6E92232AC202DC4480DBB0098A554CDF7F025AA451CED11CFBC0","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:47:05","2026-07-20T12:47:44"
"2","6","rvsg_stop2","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","9A2DA82AF098CF71879C5317D4D1314F994390E7FD71CFE7B4F977F21AFBA712","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","E6FE186E39F481D51C5CF2044BA8AB0F9B666722495ED2C4E8B2173AF170B38A","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:47:01","2026-07-20T12:47:39"
"3","7","rvsg_center3","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","1EEBB8C2FE6408EE0E5B7607ED28C3427C30F18DA550AC9D16E1BD0DFEF4C097","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","2C940149EE4E6652146AC135BA7F5A420578BC15BC7DB652AC3ECE861C0C2AF2","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_older_2015_2018_m1.identity.json","False","2026-07-20T12:47:09","2026-07-20T12:47:51"
"4","8","rvsg_center3","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","A8FC6F5E5FA0D9584EED092D514E016AC0A731C07D5523CF165E6BF876BF9F3D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","D00D55DC24D0834F361CA724099DC3EE33CE1E221374269F03D70EBCCBF039F2","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:47:07","2026-07-20T12:47:44"
"1","9","rvsg_center3","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","CF85C97B94DE776EDDE1D024F4074F4963D0462280E534077B091D2449EDB48B","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","F43151BA6F2A185BCF0504550C82C17FABA567678A47B3B9E0E4EB928B7105D8","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:47:44","2026-07-20T12:48:33"
"2","10","rvsg_stop4","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","C34CCF4853800D189699FB9303FA68A7288D28B49DB2510E4F13F73DA150458E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","4EF24884E9F5AAE68EE6895110CC0A3995E5C020C0063789FADB136D88DCFD6D","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_older_2015_2018_m1.identity.json","False","2026-07-20T12:47:39","2026-07-20T12:48:19"
"3","11","rvsg_stop4","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","F7652995450A1AB46586921847EA57316730F4E6A84214A2BCF01D2BA1A065CB","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","E41743A240146732014353ADEDEB70FC44DA6F296587E6259DE3EB881994CEBF","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:47:51","2026-07-20T12:48:30"
"4","12","rvsg_stop4","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","D0628C86A5DD73B9C9B9579B1DB1D92964A8C5832555B9A73C8028FA43F907AC","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","43112615E9C962C903F444569F8647D93FA4E48E2403376BB8E73FFCE457E86E","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:47:44","2026-07-20T12:48:30"
"1","13","rvsg_stop6","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop6_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","11B18C538F3B48A2DFE37DB8A64D2AE0F7D5B781A72970EE87F1C3404BB0AFBA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","B8D911D8ECCECE3B3F523689C6EDA11DC525A896CF0892504AD920C9E2369097","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop6_older_2015_2018_m1.identity.json","False","2026-07-20T12:48:33","2026-07-20T12:49:02"
"2","14","rvsg_stop6","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop6_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","B417E8A88E33E6AF7A10FBD6360EC67823BF471E2BA4AD6A4ADFD1484ABF8171","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","F7B36799594D40E335F0D5B560BA283102B501C72BCF20E1998E3F0F586FD13A","False","BB795527F1300E1C5AF460E8765290EFE87AE4EFB9B0990143EFC98819A9E9D9","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop6_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:48:19","2026-07-20T12:48:43"
