"QueueRank","Candidate","Window","Status","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","rvsrp_control","older_2015_2018","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","B8F940CA68F3898A8C4BA27F73EC0E0F79535CED0472871FC52AC06ABB8A9378","3FB2B3E89F98C7E2C603C7B8EBDB56497F3DF20B4471DC53AC1A67E4EBFD469B","True","False","2026-07-19T18:17:03","2026-07-19T18:19:17"
"2","rvsrp_control","middle_2019_2022","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","53E25655C91947F64F268E70D6E4C09C416A164B750EF6F00AD0255FED1340A7","AD6DC392D160FD1BAF7E923C7E9429CEE78B85705FDC2B5288599CF832D5880E","True","False","2026-07-19T18:17:03","2026-07-19T18:19:13"
"3","rvsrp_control","recent_2023_2026","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","6C9F7728BE83C9C6663FA6A63ECD5F530D3B1FAEF813AC3522A0EE11D7CBA04E","3D12F6E6329B6D77A6478869E6E0F10A4FD351579B16CCE722F7D9B2C50DB0D1","True","False","2026-07-19T18:17:04","2026-07-19T18:20:31"
"4","rvsrp_control","continuous_2015_2026","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","9B8F204C3160C320EAEB46FD7A0F3D64B9472B50D17BEB8D8015E256B6A5065B","7EF89DB99FAE2C8EF81A3DA88CD355BB7703D5D8FFC06647BA17B23DE1585CD6","True","False","2026-07-19T18:17:04","2026-07-19T18:23:55"
"5","rvsrp_b250_r065","older_2015_2018","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","BF9AEBE0A3094004A092FE4543BAD449D0CADA49D30E1568E0931F8C406228B9","6D8CA68A9E747E24C910C2FC687F8639123A0F3C48A8040CD1D5E4697A01CE50","True","False","2026-07-19T18:19:17","2026-07-19T18:21:17"
"6","rvsrp_b250_r065","middle_2019_2022","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","612872E402315BF6ADFECA49CB542A0A7BC503F9CE153F80576D46BED5ED10CA","5EBA6DE5FB8563C598707E96228A428B1F9799E61579FFA8F0B9582143A275B2","True","False","2026-07-19T18:19:13","2026-07-19T18:21:14"
"7","rvsrp_b250_r065","recent_2023_2026","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","5743AAB6D92E04DD91D2168C388219F62F142239B23B74784D8EEA254FDD727C","552DE522E15D580121BB94CBDF55A7AA3762182E495FA7F068573A89527FB4D6","True","False","2026-07-19T18:20:31","2026-07-19T18:23:43"
"8","rvsrp_b250_r065","continuous_2015_2026","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","101A073902C4CF67E84C60E24C08ECF68A344E3761F88BE780A62E2076206372","4414690AA51631CE959A1CE8CFA1838A7386B649D4C1C34DA7CDF8BD8965DC59","True","False","2026-07-19T18:23:55","2026-07-19T18:29:41"
"9","rvsrp_b250_r0675","older_2015_2018","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","250B41ED3A1F7102EF430DAFA8D3F47A640AA55B4275C3F976903BCF9C1DF791","3C5BC165107B1E2F81C1C6644833E17FEDA18A045501D308F0F02571A7414AF6","True","False","2026-07-19T18:21:17","2026-07-19T18:23:19"
"10","rvsrp_b250_r0675","middle_2019_2022","REPORT_FOUND","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","692B5C5994D09CAE889223A737FF66789CB98C4464526FF23470DC73755FBEE6","21F3D6E893C0C63B53FDC53D3618D1F1390A4F3BE4F454C32E3DCD9E7F9CD085","True","False","2026-07-19T18:21:14","2026-07-19T18:23:16"
