"QueueRank","Candidate","Window","Status","Attempts","IdentityRetries","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","rvsarb_control","older_2015_2018","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","4C99D418841A8F38FA1875D05FCA8BD199358D49DB0B59F5C7AAF83AFD419D32","EFF4120107016A84BBD805E4C3FC068B067B5108F34EBCDA618D3C04FC75BBAB","True","False","2026-07-19T20:58:56","2026-07-19T20:59:31"
"2","rvsarb_control","middle_2019_2022","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","6EF6D82F32CC96152E8FED20559C91D0655981EF890D798100401D12E0E0AD23","13995FB407D4C4AC60CD393CE19E8599FD30F4CBA4915D47B7FB646ECCBDB179","True","False","2026-07-19T20:58:57","2026-07-19T20:59:27"
"3","rvsarb_control","recent_2023_2026","REPORT_FOUND","2","1","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","962399C600209DDC25B79739DB4E4982C87E3E9001A1A997C2954F25AF9886A0","B7589C1ABD20EA6EAD3BDB886DB280C2AE4CFAF30420F60FA1338513DE50B38C","True","False","2026-07-19T21:02:12","2026-07-19T21:02:34"
"4","rvsarb_control","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","1DF28E7D397BAAA797D920CFE53F9D3FF50EE683D346816713A418AF91B0F6E2","F979E69FC1E4661DAE7331FC20EFD0A18DE92D8B516FDAD25EB91F52AD924487","True","False","2026-07-19T20:58:57","2026-07-19T20:59:38"
"5","rvsarb_atb013","older_2015_2018","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","B90EDC5ECE04D690BCA6A9D572CCFDE586BA44DCA415AE4F9265A27A42DFB600","EFD8FB6B0395FAA1CF9BAF9787EAD5B74EB12E361B8EE4DEA2F247B1D9FAC4F2","True","False","2026-07-19T20:59:31","2026-07-19T21:00:00"
"6","rvsarb_atb013","middle_2019_2022","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","0B92FE6085098A3015B55693A31F19A2FE18F23CFFF97BBE8EE1BC013E527E5F","62BA8F1B8C8EDBE95FC601F614436F6D6901081B9791B5BF11F7BE2D4F103149","True","False","2026-07-19T20:59:27","2026-07-19T20:59:53"
"7","rvsarb_atb013","recent_2023_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","E58EB1E445E015D9B25515B00C0BCDD4FE02A957FB68F4F9152BFF55EF0A1E42","2F3DFB79C19A9F724AB2054792063276B3064C7D578AACE67826A65CCDED3B94","True","False","2026-07-19T20:59:27","2026-07-19T20:59:52"
"8","rvsarb_atb013","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","E48CF421A430DC4CC9C8C08F9543CC424C38E08B67D186BA9FD8C5325A34747D","384BE222748488643216F7D93C51D17204E4AE256A930970CF3847DB9B33CB43","True","False","2026-07-19T20:59:38","2026-07-19T21:00:15"
"9","rvsarb_atb014","older_2015_2018","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","63D78952084B168D2F904AE8F646F404DC8448F8FB6F03D2A18ED8A13FCD15D3","0606A502B6E021733257738B48C97374BC8C5BA5CB62842557AB6C8DAB77E2EB","True","False","2026-07-19T21:00:00","2026-07-19T21:00:28"
"10","rvsarb_atb014","middle_2019_2022","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","84713C47C710B081BC03AF276AE896F33DDC10716108C38F9D9BDD0A5FD76C15","35E0B020E6A57F951950B52D67D51BBF02B4E17A7EDCB8C17B88C04D6D827FBA","True","False","2026-07-19T20:59:53","2026-07-19T21:00:20"
"11","rvsarb_atb014","recent_2023_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","0DA5503D2D20D1C4D2A385036D239BE20E0C307603CADCA7B720BC2A061E15C1","B2273172360F43663FCE933D2C799EC6FB61FA997E208C20E443F2D3DC9732B7","True","False","2026-07-19T20:59:52","2026-07-19T21:00:22"
"12","rvsarb_atb014","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","4B5E3F39ABE955A5C362D58EB517C702811F3E6BF31E80D0895203587A1D6D99","078175B49A92DE1A5A118223EC19454A60C9BF42A60EB4457FB48A3476E4B51B","True","False","2026-07-19T21:00:15","2026-07-19T21:00:49"
"13","rvsarb_atb015","older_2015_2018","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","B909096D42B94EBAE5EFFBC5A07561D4630C1F00D1469412057241FD315823A3","90C91D3F525163711016F9A1467810D04551EF1D072BD5BCF0EC7A6EF81198E8","True","False","2026-07-19T21:00:28","2026-07-19T21:00:55"
"14","rvsarb_atb015","middle_2019_2022","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","43AAB73AC8EC56D737D509559EFB0DBEA3E4400A43543D154D606696551B1769","F7AEFE5C10CDFEC5FF29FD10435295AF40197FFFC6659F91741945A67BB924C8","True","False","2026-07-19T21:00:20","2026-07-19T21:00:46"
"15","rvsarb_atb015","recent_2023_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","37ED013FD333394FE852B266D71AB58B000AF1BEFB3140A53A346BAAE8D22BC4","9F9920946185582E403572402F8601B756B546E80366CB1357AFBA818652A467","True","False","2026-07-19T21:00:22","2026-07-19T21:00:47"
"16","rvsarb_atb015","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","0493C87328948EDA239C8AA17DCCC541F6575D8D31E7DFC2C66DB8D9045B9943","6E2687FB242F314EBE9F479209CD8C39C30689735D574AB9855F24AD1CB68BF7","True","False","2026-07-19T21:00:49","2026-07-19T21:01:19"
