"QueueRank","Candidate","Role","StrongSignalRiskEnabled","AdaptiveTrendRiskPercent","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsarbp_control","control","false","0.15","older_2015_2018","2015.01.01","2018.12.31","1","633DA51B39BD643515DBE6A6D7D88C4B046A384BCAD40926C0D95406384DCA82","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","E9BE8E266C382DB92B69003F2AA4160D0224228B91CA02EEA2925587D1360461"
"2","rvsarbp_control","control","false","0.15","middle_2019_2022","2019.01.01","2022.12.31","1","633DA51B39BD643515DBE6A6D7D88C4B046A384BCAD40926C0D95406384DCA82","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","94FD2372D63F95E971DE677014FC2025A87F24AFB4869701D3814F6EA0AD2396"
"3","rvsarbp_control","control","false","0.15","recent_2023_2026","2023.01.01","2026.07.12","1","633DA51B39BD643515DBE6A6D7D88C4B046A384BCAD40926C0D95406384DCA82","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","5A104A98CF192465674EABEB77CE5CAD5AEE8C9FE8710178818FEDDC530BF5FD"
"4","rvsarbp_control","control","false","0.15","continuous_2015_2026","2015.01.01","2026.07.12","1","633DA51B39BD643515DBE6A6D7D88C4B046A384BCAD40926C0D95406384DCA82","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","7F3D6A70653CE25A3A1F5FF621F757CACD79969AD9BC55198E571E44547BFCA0"
"5","rvsarbp_atb0135","lower_neighbor","true","0.135","older_2015_2018","2015.01.01","2018.12.31","1","93B920F245038C01E37FC21ECCADB1AF07519AE308011C0D4DCFF0A89BB4866C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","852.25","8.52","2.07","1.81","181","44.75","105.51","1.01","8.0774","8.4356","5.35","6","0D9761B8ECF1EB18528473ACA1807836419A509BDA7C8CCF10E9C9D9D3F054A9"
"6","rvsarbp_atb0135","lower_neighbor","true","0.135","middle_2019_2022","2019.01.01","2022.12.31","1","93B920F245038C01E37FC21ECCADB1AF07519AE308011C0D4DCFF0A89BB4866C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","706.83","7.07","1.72","1.84","138","41.3","127.98","1.24","5.523","5.7016","5.67","8","916983C9EAD1562FAB00331C5E4529A5C1055C1F6F90228C57D96B3A61C2E5BA"
"7","rvsarbp_atb0135","lower_neighbor","true","0.135","recent_2023_2026","2023.01.01","2026.07.12","1","93B920F245038C01E37FC21ECCADB1AF07519AE308011C0D4DCFF0A89BB4866C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","39B7C930BBB5545D94346E2BD5877D3625EBCD3AD1ADC331D214833C40114612"
"8","rvsarbp_atb0135","lower_neighbor","true","0.135","continuous_2015_2026","2015.01.01","2026.07.12","1","93B920F245038C01E37FC21ECCADB1AF07519AE308011C0D4DCFF0A89BB4866C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2290.38","22.9","1.81","1.88","400","44.25","149.18","1.26","15.3531","18.1746","4.81","8","0DC44782C16FA9CDF9E91B62278ADAED726F7895F1B372488AF8E864985D25FA"
"9","rvsarbp_atb0140","center","true","0.14","older_2015_2018","2015.01.01","2018.12.31","1","CFB5B5ADDDC921554C9E462D0F2C1387D8F4AAA6191A98500604745DC3FAEBFD","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","846.12","8.46","2.05","1.79","184","44.57","105.51","1.01","8.0193","8.3762","5.21","6","D5E9DB42630DEED47A9FB7CB5377D7E7ACA0B2898276A4611DB33BDDF2DD6D9E"
"10","rvsarbp_atb0140","center","true","0.14","middle_2019_2022","2019.01.01","2022.12.31","1","CFB5B5ADDDC921554C9E462D0F2C1387D8F4AAA6191A98500604745DC3FAEBFD","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","725.81","7.26","1.77","1.85","140","41.43","127.98","1.24","5.6713","5.8548","5.43","8","322A62C842D583168A02E5E421382A9B4B6AB2F88FAE72881E8C8E05C7B19D47"
"11","rvsarbp_atb0140","center","true","0.14","recent_2023_2026","2023.01.01","2026.07.12","1","CFB5B5ADDDC921554C9E462D0F2C1387D8F4AAA6191A98500604745DC3FAEBFD","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","74340DCA41241F2E6BAD6C1B8B51E35A287CA0F631CCD2BFC54C554C1B6BD8CE"
"12","rvsarbp_atb0140","center","true","0.14","continuous_2015_2026","2015.01.01","2026.07.12","1","CFB5B5ADDDC921554C9E462D0F2C1387D8F4AAA6191A98500604745DC3FAEBFD","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2367.32","23.67","1.86","1.9","407","44.47","144.42","1.21","16.3919","19.562","4.79","8","4A9252A24036800CDCA5B3CC1DA9B5C623ADCF290AE781CED2BCE3B51B962BD3"
"13","rvsarbp_atb0145","upper_neighbor","true","0.145","older_2015_2018","2015.01.01","2018.12.31","1","CA9A4D6E94F95C90AE6823D330913917B2DF74E265C298324C050EAF3C0BFE34","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","877.43","8.77","2.13","1.82","186","45.16","105.51","1.01","8.3161","8.6832","5.21","6","AB3DE05BDBC2D31806366FF3F97DBB7F56275F92E55CEC1C4EDF7A8587C5FACC"
"14","rvsarbp_atb0145","upper_neighbor","true","0.145","middle_2019_2022","2019.01.01","2022.12.31","1","CA9A4D6E94F95C90AE6823D330913917B2DF74E265C298324C050EAF3C0BFE34","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","725.81","7.26","1.77","1.85","140","41.43","127.98","1.24","5.6713","5.8548","5.43","8","D966A18566495B5683A04E3A308E6F0756010590B710443ED3D5446FC5B88B55"
"15","rvsarbp_atb0145","upper_neighbor","true","0.145","recent_2023_2026","2023.01.01","2026.07.12","1","CA9A4D6E94F95C90AE6823D330913917B2DF74E265C298324C050EAF3C0BFE34","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","0973BD9BBF975F3C4513A43E56B856EE32A530EBADD4A7CEB0E3694FC34D7126"
"16","rvsarbp_atb0145","upper_neighbor","true","0.145","continuous_2015_2026","2015.01.01","2026.07.12","1","CA9A4D6E94F95C90AE6823D330913917B2DF74E265C298324C050EAF3C0BFE34","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2445.32","24.45","1.92","1.92","411","45.01","146.33","1.22","16.711","20.041","4.82","8","B9F73578B6D75E7C6AEF91016304ACA529B372F7D050E8C975F7D8AA1DAC144A"
