"QueueRank","Candidate","Role","RewardQualityEnabled","MinimumAdjustedRiskReward","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsrq_control","control","false","1.2","older_2015_2018","2015.01.01","2018.12.31","4","26E943D76A8D6E0B413B6159A39C955334FAE53694257C2DDBC2C2430B8DC920","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","856.18","8.56","2.08","1.79","187","44.92","106.11","1.01","8.0688","8.4752","19.63","6","CF023FE9BAA9A2C87CEB4DD918BDBCC9290760A9A4B702F8168321C43E2FC970"
"2","rvsrq_control","control","false","1.2","middle_2019_2022","2019.01.01","2022.12.31","4","26E943D76A8D6E0B413B6159A39C955334FAE53694257C2DDBC2C2430B8DC920","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","572.09","5.72","1.4","1.68","131","39.69","119.17","1.17","4.8006","4.8889","6.07","8","BCDE0DBF60479FB5599BA223B526D49CBFDEC04BB1EC0BA4570536C36BE7150C"
"3","rvsrq_control","control","false","1.2","recent_2023_2026","2023.01.01","2026.07.12","4","26E943D76A8D6E0B413B6159A39C955334FAE53694257C2DDBC2C2430B8DC920","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","602.11","6.02","1.67","2.28","76","48.68","125.81","1.24","4.7859","4.8548","13.5","6","34727E0FAC879A7AB8DD90418CF0FD9715E93F71CEF44FC16193425E6C55242C"
"4","rvsrq_control","control","false","1.2","continuous_2015_2026","2015.01.01","2026.07.12","4","26E943D76A8D6E0B413B6159A39C955334FAE53694257C2DDBC2C2430B8DC920","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2105.08","21.05","1.67","1.81","404","44.31","134.35","1.15","15.6686","18.3043","9.04","8","8EE983DAD232085E62E520C8C57D812E6ACF6190A5DA097664A8F2C1E08505ED"
"5","rvsrq_rr135","lower_neighbor","true","1.35","older_2015_2018","2015.01.01","2018.12.31","4","DB3D960CFDF778FB36E31C7C322A8EA54295D89E217015AF7B8005C91123E89F","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","856.18","8.56","2.08","1.79","187","44.92","106.11","1.01","8.0688","8.4752","19.63","6","1AF85C7982AA7ACF53442654629FE752BD8E4E44241C0793E5C5C589E0CF8EE7"
"6","rvsrq_rr135","lower_neighbor","true","1.35","middle_2019_2022","2019.01.01","2022.12.31","4","DB3D960CFDF778FB36E31C7C322A8EA54295D89E217015AF7B8005C91123E89F","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","633.49","6.33","1.55","1.76","131","39.69","125.96","1.23","5.0293","5.1463","6.27","8","3B83E19312A83CE57A48EE1E76172F015A72C6F9CF10D857F3AF604FB69AF279"
"7","rvsrq_rr135","lower_neighbor","true","1.35","recent_2023_2026","2023.01.01","2026.07.12","4","DB3D960CFDF778FB36E31C7C322A8EA54295D89E217015AF7B8005C91123E89F","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","682.79","6.83","1.89","2.42","76","48.68","126.01","1.23","5.4185","5.5528","14.2","6","D51D6DB1ABCCB347C8BDC40793A0E7DAE027BD7F6FC3C3403B795EF80B5A44BA"
"8","rvsrq_rr135","lower_neighbor","true","1.35","continuous_2015_2026","2015.01.01","2026.07.12","4","DB3D960CFDF778FB36E31C7C322A8EA54295D89E217015AF7B8005C91123E89F","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2284.81","22.85","1.8","1.87","404","44.31","145.84","1.23","15.6666","18.5772","9.18","8","D65D3163AECDF330C0253A74929BA1665A866FFF408918C5FA434E3057CDBE07"
"9","rvsrq_rr150","center","true","1.5","older_2015_2018","2015.01.01","2018.12.31","4","C3914CB56C50AF43D0F289CBA626E740DA0E840BEA0B61A584EF3AD9F0C5CABC","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","856.18","8.56","2.08","1.79","187","44.92","106.11","1.01","8.0688","8.4752","19.63","6","21C71CEF55F2ED3E52C1A63C3189894E2D4B744B0346CBBB7DF898B7816C0900"
"10","rvsrq_rr150","center","true","1.5","middle_2019_2022","2019.01.01","2022.12.31","4","C3914CB56C50AF43D0F289CBA626E740DA0E840BEA0B61A584EF3AD9F0C5CABC","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","633.49","6.33","1.55","1.76","131","39.69","125.96","1.23","5.0293","5.1463","6.27","8","2933109F19B1B1E627B57BE6A9657763543609CBCE6EABDBA6B1B6B5201F6C4D"
