"QueueRank","Candidate","Role","StrongSignalRiskEnabled","BodyRatio","StrongRiskPercent","DrawdownThrottleEnabled","FullRiskMaximumDrawdownPercent","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvhwr_control","control","false","0.25","0.7","false","0.3","older_2015_2018","2015.01.01","2018.12.31","1","EA2EA68C404C5D3ECD74C962372F3C117A42BD49F00B627DC587842B3317507B","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","3FF8FF3DCBDF6C227A58E94C618C6CDA5A5CCC21124EECE28EF99A53B83B303B"
"2","rvhwr_control","control","false","0.25","0.7","false","0.3","later_2019_2020","2019.01.01","2020.12.31","1","EA2EA68C404C5D3ECD74C962372F3C117A42BD49F00B627DC587842B3317507B","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","CE28C2029A5EAF435FCB6DA5C2CF8D10765C6B63559EBE06FCAF551A53C8C186"
"3","rvhwr_control","control","false","0.25","0.7","false","0.3","continuous_2015_2020","2015.01.01","2020.12.31","1","EA2EA68C404C5D3ECD74C962372F3C117A42BD49F00B627DC587842B3317507B","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","1FA84546A96076C84156A3991085A66810F5C149DDE238664BB328DFCF190821"
"4","rvhwr_unconditional","unconditional_reference","true","0.25","0.7","false","0.3","older_2015_2018","2015.01.01","2018.12.31","1","77BE16D9F34228637E8CD003ABB394B7DF3A8EFB7D5D4D22CEE953E440423F0C","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","11EFA01F2126662922EA9EA2324EF7A507AB6C82AA89A51CDED7A07030D6D405"
"5","rvhwr_unconditional","unconditional_reference","true","0.25","0.7","false","0.3","later_2019_2020","2019.01.01","2020.12.31","1","77BE16D9F34228637E8CD003ABB394B7DF3A8EFB7D5D4D22CEE953E440423F0C","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","982267FDB89FD677827F7EF5185BCBCB731BAB77B1E6A4A5316E6D43CFA4CF30"
"6","rvhwr_unconditional","unconditional_reference","true","0.25","0.7","false","0.3","continuous_2015_2020","2015.01.01","2020.12.31","1","77BE16D9F34228637E8CD003ABB394B7DF3A8EFB7D5D4D22CEE953E440423F0C","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","751346C829EBD6DEE62C14EDFCF7388D289482461233A37B23A7333124949212"
"7","rvhwr_dd015","lower_threshold","true","0.25","0.7","true","0.15","older_2015_2018","2015.01.01","2018.12.31","1","B7A78E58A268F361F5D1F811060E960F720193AEAD3DEAE28DBDEEFF20B0B1DE","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","D85D455D8844CB436F89AE7E1B247B3FD00B98517EF8017337C9B79DBFB324AE"
"8","rvhwr_dd015","lower_threshold","true","0.25","0.7","true","0.15","later_2019_2020","2019.01.01","2020.12.31","1","B7A78E58A268F361F5D1F811060E960F720193AEAD3DEAE28DBDEEFF20B0B1DE","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","6DA4B09F9652B4AB4D45B11593024D26EBBB97C9AD1810108398A22A5CBF5A60"
"9","rvhwr_dd015","lower_threshold","true","0.25","0.7","true","0.15","continuous_2015_2020","2015.01.01","2020.12.31","1","B7A78E58A268F361F5D1F811060E960F720193AEAD3DEAE28DBDEEFF20B0B1DE","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","D0DF29091236B80169CA1159D75F234A0368AF47C33E47C3D796214324A0C627"
"10","rvhwr_center_dd030","center","true","0.25","0.7","true","0.3","older_2015_2018","2015.01.01","2018.12.31","1","754211A9BFBF8ED33A3CBE4C5E6E92B63DE80A4E81D3E61CECC832362CF6B911","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","1A6C2903D1D0263AB2822DD61C5F13131DF9924E70795339EC6CD35E3620A8D1"
"11","rvhwr_center_dd030","center","true","0.25","0.7","true","0.3","later_2019_2020","2019.01.01","2020.12.31","1","754211A9BFBF8ED33A3CBE4C5E6E92B63DE80A4E81D3E61CECC832362CF6B911","38CA497BB6E0E013927B2FAC2C4D4350AFC476C8EAC837FACE6C6D0991B5D232","A8774A7477E9C65F4A7263A930F97CE4AB1A62DB5BA53FC82835E28DEAA199FA","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","1CAAFC2F7290D96E9E35F8E9F4FC52C533EDAEB12BC4524036F121E182405A5C"
