"Window","ControlNetProfit","CenterNetProfit","Increment","CenterProfitFactor","CenterTrades","CenterDrawdownPercent","CenterMaxConsecutiveLosses","CenterPositive","CenterNoWorse"
"year_2015","170.78","195.25","24.47","2.14","26","0.86","2","True","True"
"year_2016","256.58","300.18","43.6","2.4","42","0.74","5","True","True"
"year_2017","111.65","99.65","-12","1.25","55","1.18","6","True","False"
"year_2018","281.65","333.73","52.08","2.14","63","0.55","5","True","True"
"year_2019","13.01","13.01","0","1.07","36","1.08","6","True","True"
"year_2020","194.64","235.07","40.43","2.17","29","0.71","3","True","True"
"year_2021","313.13","392.11","78.98","2.7","30","1.16","8","True","True"
"year_2022","16.22","49.32","33.1","1.22","36","0.96","4","True","True"
"year_2023","181.54","181.54","0","1.75","41","1.24","6","True","True"
"year_2024","233.81","233.81","0","2.44","29","1.08","4","True","True"
"year_2025","17.78","17.78","0","2.91","3","0.12","1","True","True"
"year_2026_ytd","209.18","209.18","0","0","2","1.19","0","True","True"
