"QueueRank","Candidate","Role","StrongSignalBodyRatio","StrongSignalRiskEnabled","ReversionRiskPercent","SelectiveLotCapEnabled","BaseReversionMaximumPositionLots","StrongSignalMaximumPositionLots","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","sslc_control","control","0.25","false","0.45","false","0.1","0.15","older_2015_2018","2015.01.01","2018.12.31","1","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","D572C0EE4DAEC05427E8DC1B5D11821421C7047FAB9320632FEAEAE5DFFF7306"
"2","sslc_control","control","0.25","false","0.45","false","0.1","0.15","later_2019_2020","2019.01.01","2020.12.31","1","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","E41C69646F5820057D7BF54531CCDF938FE0D035A47C2DEF284F6365841BAF10"
"3","sslc_control","control","0.25","false","0.45","false","0.1","0.15","continuous_2015_2020","2015.01.01","2020.12.31","1","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","DA6E343A50AF5569C33CBFA930684C672F3AD957953C192638F230CD55FC1650"
"4","sslc_unconditional015","unconditional_reference","0.25","false","0.45","false","0.15","0.15","older_2015_2018","2015.01.01","2018.12.31","1","BECF3B37227DF2D525C2A49E68BBCED0E9B0A3C7449E1AE7B165250C2EC5A843","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","1075.75","10.76","2.59","1.91","189","44.44","1.3","7.8174","8.2769","5.15","6","D63DFC86357F07395213166A245D43269633DB28052E2B5483787FAC22ACFB17"
"5","sslc_unconditional015","unconditional_reference","0.25","false","0.45","false","0.15","0.15","later_2019_2020","2019.01.01","2020.12.31","1","BECF3B37227DF2D525C2A49E68BBCED0E9B0A3C7449E1AE7B165250C2EC5A843","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","370.41","3.7","1.84","1.94","75","46.67","0.93","3.9135","3.9785","5.57","6","D09A628E4B13A62F2FFF286267804326D849F38B5A9AA4D8A864790BDB85B2FD"
"6","sslc_unconditional015","unconditional_reference","0.25","false","0.45","false","0.15","0.15","continuous_2015_2020","2015.01.01","2020.12.31","1","BECF3B37227DF2D525C2A49E68BBCED0E9B0A3C7449E1AE7B165250C2EC5A843","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","1419.25","14.19","2.24","1.85","267","44.94","1.3","10.3136","10.9154","4.92","6","A9BCBD0D7210A3C46B98DCC97789CB1F14291ACE82FC3C9037C5229627F708EF"
"7","sslc_low012","lower_neighbor","0.25","false","0.45","true","0.1","0.12","older_2015_2018","2015.01.01","2018.12.31","1","025A505CE59B078FEFA7A815261C79C80BD37056C9411C778AC821B3E74D6C91","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","921.1","9.21","2.23","1.84","187","44.92","1.05","8.3592","8.7714","5.19","6","2E07092734C563D5237B25E9BE7BBFC6ED7D52E71F677DD262054A1215A5A931"
"8","sslc_low012","lower_neighbor","0.25","false","0.45","true","0.1","0.12","later_2019_2020","2019.01.01","2020.12.31","1","025A505CE59B078FEFA7A815261C79C80BD37056C9411C778AC821B3E74D6C91","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","343.82","3.44","1.71","1.87","75","46.67","0.93","3.6325","3.6989","5.53","6","02EF45810E1E317A4F3CD254C27F320981138B1A6C58BD50926D0F7A04B3EEBD"
"9","sslc_low012","lower_neighbor","0.25","false","0.45","true","0.1","0.12","continuous_2015_2020","2015.01.01","2020.12.31","1","025A505CE59B078FEFA7A815261C79C80BD37056C9411C778AC821B3E74D6C91","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","1260.47","12.6","2","1.81","265","45.28","1.02","11.1883","12.3529","5.01","6","11F86D24F56BF98676C0C498190A03D69CB3357EED30DDE33089B114945D650B"
"10","sslc_center015","center","0.25","false","0.45","true","0.1","0.15","older_2015_2018","2015.01.01","2018.12.31","1","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","PARSED","1001.72","10.02","2.42","1.9","187","44.92","1.11","8.5464","9.027","5.25","6","BE258ACBDE398A22F03B7E5C558CD8441FCAF3E8872BD4208D2C58CFB0ACF17D"
