"QueueRank","Candidate","Window","Status","Attempts","IdentityRetries","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","rvsstpll_control","older_2015_2018","REPORT_FOUND","2","1","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","1FA4EB874447DE8EAE9A37FFC98838B5E14F4B2A181838C5722F5A3CF49FF070","2206AA67DEFF2A52F24BABDE13F4A724C06B3A51D410EDF0E91502ED673BC0C4","True","False","2026-07-19T20:44:07","2026-07-19T20:44:29"
"2","rvsstpll_control","middle_2019_2022","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","5CF09DF93AE86BB4D1E90A15B1C549AB09665EAB8C65485EBAA55B7DC668954E","28D23A789C4A2DE3E76A39FDD8767D3873B68D31E4F50E22E86FBA109A43F84E","True","False","2026-07-19T20:39:34","2026-07-19T20:40:05"
"3","rvsstpll_control","recent_2023_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","67B64B57BD5D1687815301B311A2EC488CBAD4AABA6197D7C252F236951F0072","FA6966EB5ED7CB1705ABE2273E53ABE8C7F11913793E10C93FB22DBE7494F02D","True","False","2026-07-19T20:39:35","2026-07-19T20:40:04"
"4","rvsstpll_control","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","0D62708DA7F74336C65C3CCEED8409E5C2698C315D2909BE5DED292C8BC033E9","5180351F363D10BDAADAA8C8C0BDB05A00481CE4E0A1683A779CE5C09EDAC8B4","True","False","2026-07-19T20:39:35","2026-07-19T20:40:17"
"5","rvsstpll_strong_only","older_2015_2018","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","B6C30622D097094EE6CB10ED8F66BB9155295845D38B57B94F92C4C1921332E6","165FBA5824988DFA0ECE38F02FC76B7CD086BC3C65A6B8D45BE8B21EF0914C20","True","False","2026-07-19T20:40:03","2026-07-19T20:40:34"
"6","rvsstpll_strong_only","middle_2019_2022","REPORT_FOUND","2","1","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","22348C3D5B98FCA76DFD2BA0790E131284CE4254BE2226946DDBB58599DDF5A8","0A7CF653958FD4B2DCF9A55D7BD25B37D25FB54BBAD0F4C076F796D60137FD25","True","False","2026-07-19T20:44:29","2026-07-19T20:44:50"
"7","rvsstpll_strong_only","recent_2023_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","3F402D8B59F7B4DEC5C393B2A0B223912B131E0F28370D9799C852F5CFDB5E9B","C78FC414C58E45017CC56498B5737813B747927D4E198BD881CE15013103C677","True","False","2026-07-19T20:40:04","2026-07-19T20:40:33"
"8","rvsstpll_strong_only","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","6F5CD2FB8482C9ABD0D714020F2227E410E047C97B71FA739D49EFF270D747C0","44FC630C7A6188A3AD2588147D350FB06A30AA3B5B516BA0B29E3B09158E4A29","True","False","2026-07-19T20:40:17","2026-07-19T20:40:54"
"9","rvsstpll_lock010","older_2015_2018","REPORT_FOUND","2","1","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","C800714C179130F31F44F1DE837254483713C98E702653A43870C13D875E124E","0478F62E06EE96F330FF18D6C2E4DADB01FEAB36189107D1BF35179C1EC87FB1","True","False","2026-07-19T20:44:50","2026-07-19T20:45:11"
"10","rvsstpll_lock010","middle_2019_2022","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","ECEBA53F1E2BECDA3BB3526B7372D2196B0166441D68D81CF630F79527B9182D","552BB8C2E3B051FBEE2EAD243C85431201F4676243D34EC3D4A2E88A0C6DAB34","True","False","2026-07-19T20:40:27","2026-07-19T20:40:53"
"11","rvsstpll_lock010","recent_2023_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","EF0020C23BFA5044532E485D96EC4850C2905ACFA603DCC120F0D428D5ADDD2C","D162E965C1C8D9A122D20C2A7018E178623758989CF9DEDF2AFF2531E4CE53A6","True","False","2026-07-19T20:40:33","2026-07-19T20:41:00"
"12","rvsstpll_lock010","continuous_2015_2026","REPORT_FOUND","1","0","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","666B027A63D551D1657EEA623ED82150F99BA54B0C1DA3D93D6EDF7EE9F002C5","FD192616AB03E8262AA4B0D662D4F12ABD0534B8F5146A384A75174D2EA4530E","True","False","2026-07-19T20:40:54","2026-07-19T20:41:30"
