"QueueRank","Candidate","Role","StrongSignalRiskEnabled","ProtectionEnabled","ProtectionTriggerR","ProtectionLockR","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsstp_control","control","false","false","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","C9A04DD6760C34C92F81C68695427E2FF9576004790600C5B9E9675CCD0B9389","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","EBCD960F0B5CDB772C326826B60A344A3E3EF34A36689A8D086E89539DE9753D"
"2","rvsstp_control","control","false","false","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","C9A04DD6760C34C92F81C68695427E2FF9576004790600C5B9E9675CCD0B9389","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","430CA4B0FC8928C32AF2C924A0A6FBA3841624BA8DB8B9FE430621737829A7DD"
"3","rvsstp_control","control","false","false","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","C9A04DD6760C34C92F81C68695427E2FF9576004790600C5B9E9675CCD0B9389","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","D9EDF60143E92A999814DEAC1814504A04167A877520499D9B67F421BD63FA44"
"4","rvsstp_control","control","false","false","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","C9A04DD6760C34C92F81C68695427E2FF9576004790600C5B9E9675CCD0B9389","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","7B7A2D8CE6314D10D1F9F087E664F053834CBCE0C1470DB388B9541D323BFC0C"
"5","rvsstp_strong_only","strong_control","true","false","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","87EF89CE8A1089E905BEA20A7D8D940A06C95933FF6D5AEFC56DB9E118787562","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","1EA0E1382E7E0D3C42775F7E592FDB1365F801AC5A8FCB9D21733E142F645A3E"
"6","rvsstp_strong_only","strong_control","true","false","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","87EF89CE8A1089E905BEA20A7D8D940A06C95933FF6D5AEFC56DB9E118787562","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","4CBDC9BE48CDFFBCE011244364B253BED0ADA1D73330B4650513AB25A42F75C5"
"7","rvsstp_strong_only","strong_control","true","false","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","87EF89CE8A1089E905BEA20A7D8D940A06C95933FF6D5AEFC56DB9E118787562","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","726A1B1B3B4395FCF6E314CE9B9BF669F7E4AADB39AEA2866F7460D247AF1CFA"
"8","rvsstp_strong_only","strong_control","true","false","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","87EF89CE8A1089E905BEA20A7D8D940A06C95933FF6D5AEFC56DB9E118787562","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2391.89","23.92","1.88","1.89","415","44.82","144.42","1.21","16.562","19.7686","4.65","8","DFDD3AC2681AE66E31083C1B9DDF9CB72EA2BCE0BED42B3FABA7599D18D3C5BC"
"9","rvsstp_lock005","lower_neighbor","true","true","1","0.05","older_2015_2018","2015.01.01","2018.12.31","1","5D7D59CF589F4049BD4F75A0C5FCC40D81D348B2E737D18A2313DB80C7A0E4A9","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","784.58","7.85","1.91","1.72","187","44.92","105.51","1.01","7.4361","7.7723","4.72","6","1BE24CDB92C92F8337C7EF84680E7FAE4E7CF6BFF4F89310C2BF45DB4F99E85C"
"10","rvsstp_lock005","lower_neighbor","true","true","1","0.05","middle_2019_2022","2019.01.01","2022.12.31","1","5D7D59CF589F4049BD4F75A0C5FCC40D81D348B2E737D18A2313DB80C7A0E4A9","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","638.99","6.39","1.56","1.75","140","41.43","125.78","1.23","5.0802","5.1951","4.93","8","ED3E180D9B4751219B213B474A70E6551D58E59D57AED68252FB2DEC95804BEA"
