QueueRank,Candidate,Role,Window,From,To,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
1,tsslc_control,control,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,4CFE8208364DB0259E134B6F33FDD6B9F4B6BDB2986CA944BC8A34F61F66023E,41B610890AAEFF2001CC75B0F67F88950AB0703151E75D058BEECE80DF67184C,4D4ADD9D63B71BC2F9DA98E7ED8B636990F87A1D69737DBDEC34E2432BE3A1A5
2,tsslc_control,control,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,4CFE8208364DB0259E134B6F33FDD6B9F4B6BDB2986CA944BC8A34F61F66023E,B39E58EB5885E9B32DE1A357E20C5BA1155810FDD1D25C95A75F7B3EBBA67AA3,B7D4778C2C8BF3892E0F8E36AD82D3B20E443E5651D06DB7B642B16F936B7C3D
3,tsslc_control,control,continuous_2015_2020,2015.01.01,2020.12.31,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,4CFE8208364DB0259E134B6F33FDD6B9F4B6BDB2986CA944BC8A34F61F66023E,DB5270639266EFFCA36FDCB18C8C512597029930BAD8DA66E1E239BC00AA8D11,F7A489B97082E308E7FBC89B4C6727A8475D26ABA354D8D01878F7BE44581CB2
4,tsslc_strong020_reference,broad_reference,older_2015_2018,2015.01.01,2018.12.31,1024.13,10.24,2.47,1.91,187,1.22,7.9445,8.3934,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,5D85FB7F1F679175DB2A7844A3ACCE45D78361F2C010DC46198A1C0EE123E1C4,5585A67EC8E7507FD0AA0E10FF5A857D7E745E9A2540F4BCABF432A2312A8FDD,242ED588C9715342C9F2D943E6CB1F2A949F2A07708FC1108BF5EF5F399F0977
5,tsslc_strong020_reference,broad_reference,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,5D85FB7F1F679175DB2A7844A3ACCE45D78361F2C010DC46198A1C0EE123E1C4,BB1F226B6F809941F582BD7480807E2AE841B9E3BDEC8F4124B3B38A8C3AE858,5805A7789F0871038FA53F0280A4B84BFEFCD7EAE6B1C8A2F62A44B06B71167C
6,tsslc_strong020_reference,broad_reference,continuous_2015_2020,2015.01.01,2020.12.31,1403.09,14.03,2.21,1.87,265,1.22,10.8843,11.5,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,5D85FB7F1F679175DB2A7844A3ACCE45D78361F2C010DC46198A1C0EE123E1C4,F16CFF66337FB5D5375659738959845B8648AF6E314E6FB4C38F1B4345C57D34,56AFA5ED5B3DAA410428648DF08A85B605DB71C0623A1E0B9706201EDD1D6D13
7,tsslc_body035,threshold_lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,1017.35,10.17,2.45,1.92,187,1.11,8.6797,9.1622,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,2DA0089F08F582B7F636203F198A0D1366BA1A7F73DFC10B74150E2D33D50EF9,028434B55798F6DCBF98E13CF7C763DADB2DCBF2474D8611FADCC678087BC95A,EEA34426777C92018F7335CF4ECD68FD5E31107DCEE8ED44575673C65011A4DF
8,tsslc_body035,threshold_lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,2DA0089F08F582B7F636203F198A0D1366BA1A7F73DFC10B74150E2D33D50EF9,4BF5FF6012D9890D65D173A9E9883BECA47C830F4E2C2BCF3EA8F5336435C0E9,5004C8296F5FC913EB0C81D56F4CA9DE31A34BBCCD5436289544E09D64590094
9,tsslc_body035,threshold_lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1369.37,13.69,2.16,1.86,265,1.06,11.5881,12.9151,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,2DA0089F08F582B7F636203F198A0D1366BA1A7F73DFC10B74150E2D33D50EF9,523D3DB1B5B566267E571AB7097024B87DFBA058E650328039CF3D2194E83E7D,7175F04E038664C7CDC1CA7741A3B45A7DFD40F183EEE6999E33A34F0F61BE20
10,tsslc_center_body040_cap020,center,older_2015_2018,2015.01.01,2018.12.31,1017.35,10.17,2.45,1.92,187,1.11,8.6797,9.1622,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,6812E06DBE2E7F33F72A7F11951B3DAEC538FE198A8EAD8201D52203F3A65847,8F3DB39753E86B2AEB5BA071B6C8118D5CC686A7628E6060A3327614B4B2DFBE,90DB9A8EDF46E1DAF18BEB49BB6AC02E8CFC266EEEEF11886358B37788F82A52
