"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StrongSignalMinimumBodyRatio","StrongSignalMaximumPositionLots","VeryStrongSignalLotCapEnabled","VeryStrongSignalMinimumBodyRatio","VeryStrongSignalMaximumPositionLots","ReversionRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","tsslc_control","1","control","tiered_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.15","false","0.40","0.20","0.45","0.75","tsslc_control_older_2015_2018_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\001_tsslc_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\001_tsslc_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_control_older_2015_2018_m1","41B610890AAEFF2001CC75B0F67F88950AB0703151E75D058BEECE80DF67184C","4CFE8208364DB0259E134B6F33FDD6B9F4B6BDB2986CA944BC8A34F61F66023E","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"2","tsslc_control","1","control","tiered_strong_signal_lot_cap_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.25","0.15","false","0.40","0.20","0.45","0.75","tsslc_control_later_2019_2020_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\002_tsslc_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\002_tsslc_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_control_later_2019_2020_m1","B39E58EB5885E9B32DE1A357E20C5BA1155810FDD1D25C95A75F7B3EBBA67AA3","4CFE8208364DB0259E134B6F33FDD6B9F4B6BDB2986CA944BC8A34F61F66023E","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"3","tsslc_control","1","control","tiered_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.25","0.15","false","0.40","0.20","0.45","0.75","tsslc_control_continuous_2015_2020_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\003_tsslc_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\003_tsslc_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_control_continuous_2015_2020_m1","DB5270639266EFFCA36FDCB18C8C512597029930BAD8DA66E1E239BC00AA8D11","4CFE8208364DB0259E134B6F33FDD6B9F4B6BDB2986CA944BC8A34F61F66023E","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"4","tsslc_strong020_reference","2","broad_reference","tiered_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.20","false","0.40","0.20","0.45","0.75","tsslc_strong020_reference_older_2015_2018_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\004_tsslc_strong020_reference_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\004_tsslc_strong020_reference_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_strong020_reference_older_2015_2018_m1","5585A67EC8E7507FD0AA0E10FF5A857D7E745E9A2540F4BCABF432A2312A8FDD","5D85FB7F1F679175DB2A7844A3ACCE45D78361F2C010DC46198A1C0EE123E1C4","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"5","tsslc_strong020_reference","2","broad_reference","tiered_strong_signal_lot_cap_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.25","0.20","false","0.40","0.20","0.45","0.75","tsslc_strong020_reference_later_2019_2020_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\005_tsslc_strong020_reference_later_2019_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\005_tsslc_strong020_reference_later_2019_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_strong020_reference_later_2019_2020_m1","BB1F226B6F809941F582BD7480807E2AE841B9E3BDEC8F4124B3B38A8C3AE858","5D85FB7F1F679175DB2A7844A3ACCE45D78361F2C010DC46198A1C0EE123E1C4","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"6","tsslc_strong020_reference","2","broad_reference","tiered_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.25","0.20","false","0.40","0.20","0.45","0.75","tsslc_strong020_reference_continuous_2015_2020_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\006_tsslc_strong020_reference_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\006_tsslc_strong020_reference_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_strong020_reference_continuous_2015_2020_m1","F16CFF66337FB5D5375659738959845B8648AF6E314E6FB4C38F1B4345C57D34","5D85FB7F1F679175DB2A7844A3ACCE45D78361F2C010DC46198A1C0EE123E1C4","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"7","tsslc_body035","3","threshold_lower_neighbor","tiered_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.15","true","0.35","0.20","0.45","0.75","tsslc_body035_older_2015_2018_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\007_tsslc_body035_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\007_tsslc_body035_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_body035_older_2015_2018_m1","028434B55798F6DCBF98E13CF7C763DADB2DCBF2474D8611FADCC678087BC95A","2DA0089F08F582B7F636203F198A0D1366BA1A7F73DFC10B74150E2D33D50EF9","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"8","tsslc_body035","3","threshold_lower_neighbor","tiered_strong_signal_lot_cap_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.25","0.15","true","0.35","0.20","0.45","0.75","tsslc_body035_later_2019_2020_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\008_tsslc_body035_later_2019_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\008_tsslc_body035_later_2019_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_body035_later_2019_2020_m1","4BF5FF6012D9890D65D173A9E9883BECA47C830F4E2C2BCF3EA8F5336435C0E9","2DA0089F08F582B7F636203F198A0D1366BA1A7F73DFC10B74150E2D33D50EF9","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"9","tsslc_body035","3","threshold_lower_neighbor","tiered_strong_signal_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.25","0.15","true","0.35","0.20","0.45","0.75","tsslc_body035_continuous_2015_2020_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\009_tsslc_body035_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\009_tsslc_body035_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_body035_continuous_2015_2020_m1","523D3DB1B5B566267E571AB7097024B87DFBA058E650328039CF3D2194E83E7D","2DA0089F08F582B7F636203F198A0D1366BA1A7F73DFC10B74150E2D33D50EF9","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
"10","tsslc_center_body040_cap020","4","center","tiered_strong_signal_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.15","true","0.40","0.20","0.45","0.75","tsslc_center_body040_cap020_older_2015_2018_m1","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\010_tsslc_center_body040_cap020_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\configs\010_tsslc_center_body040_cap020_older_2015_2018_m1.ini","outputs\three_lane_reversion_tiered_strong_signal_lot_cap_discovery_model1_package\reports_here\tsslc_center_body040_cap020_older_2015_2018_m1","8F3DB39753E86B2AEB5BA071B6C8118D5CC686A7628E6060A3327614B4B2DFBE","6812E06DBE2E7F33F72A7F11951B3DAEC538FE198A8EAD8201D52203F3A65847","C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +1.5%; CAGR >= control +0.03 point; PF/recovery/return-DD >= control; DD <=1.15% and <=control +0.06 point; trades >=control -2. Center retains >=40% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=1% net improvement, >=97% efficiency, DD <=1.18%, and changed behavior. No post-result rescue."
