"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Deposit"
"1","1","reversion_timeframe_transfer_discovery_model1","rvtf_h1_control","control","older_2015_2018","2015.01.01","2018.12.31","rvtf_h1_control_older_2015_2018_m1","10000"
"2","2","reversion_timeframe_transfer_discovery_model1","rvtf_h1_control","control","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_h1_control_discovery_2019_2020_m1","10000"
"3","3","reversion_timeframe_transfer_discovery_model1","rvtf_h1_control","control","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_h1_control_continuous_2015_2020_m1","10000"
"4","4","reversion_timeframe_transfer_discovery_model1","rvtf_m30_local","local_bars","older_2015_2018","2015.01.01","2018.12.31","rvtf_m30_local_older_2015_2018_m1","10000"
"5","5","reversion_timeframe_transfer_discovery_model1","rvtf_m30_local","local_bars","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_m30_local_discovery_2019_2020_m1","10000"
"6","6","reversion_timeframe_transfer_discovery_model1","rvtf_m30_local","local_bars","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_m30_local_continuous_2015_2020_m1","10000"
"7","7","reversion_timeframe_transfer_discovery_model1","rvtf_m30_mid","mid_duration","older_2015_2018","2015.01.01","2018.12.31","rvtf_m30_mid_older_2015_2018_m1","10000"
"8","8","reversion_timeframe_transfer_discovery_model1","rvtf_m30_mid","mid_duration","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_m30_mid_discovery_2019_2020_m1","10000"
"9","9","reversion_timeframe_transfer_discovery_model1","rvtf_m30_mid","mid_duration","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_m30_mid_continuous_2015_2020_m1","10000"
"10","10","reversion_timeframe_transfer_discovery_model1","rvtf_m30_duration","duration_normalized","older_2015_2018","2015.01.01","2018.12.31","rvtf_m30_duration_older_2015_2018_m1","10000"
"11","11","reversion_timeframe_transfer_discovery_model1","rvtf_m30_duration","duration_normalized","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_m30_duration_discovery_2019_2020_m1","10000"
"12","12","reversion_timeframe_transfer_discovery_model1","rvtf_m30_duration","duration_normalized","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_m30_duration_continuous_2015_2020_m1","10000"
"13","13","reversion_timeframe_transfer_discovery_model1","rvtf_h2_local","local_bars","older_2015_2018","2015.01.01","2018.12.31","rvtf_h2_local_older_2015_2018_m1","10000"
"14","14","reversion_timeframe_transfer_discovery_model1","rvtf_h2_local","local_bars","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_h2_local_discovery_2019_2020_m1","10000"
"15","15","reversion_timeframe_transfer_discovery_model1","rvtf_h2_local","local_bars","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_h2_local_continuous_2015_2020_m1","10000"
"16","16","reversion_timeframe_transfer_discovery_model1","rvtf_h2_mid","mid_duration","older_2015_2018","2015.01.01","2018.12.31","rvtf_h2_mid_older_2015_2018_m1","10000"
"17","17","reversion_timeframe_transfer_discovery_model1","rvtf_h2_mid","mid_duration","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_h2_mid_discovery_2019_2020_m1","10000"
"18","18","reversion_timeframe_transfer_discovery_model1","rvtf_h2_mid","mid_duration","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_h2_mid_continuous_2015_2020_m1","10000"
"19","19","reversion_timeframe_transfer_discovery_model1","rvtf_h2_duration","duration_normalized","older_2015_2018","2015.01.01","2018.12.31","rvtf_h2_duration_older_2015_2018_m1","10000"
"20","20","reversion_timeframe_transfer_discovery_model1","rvtf_h2_duration","duration_normalized","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_h2_duration_discovery_2019_2020_m1","10000"
"21","21","reversion_timeframe_transfer_discovery_model1","rvtf_h2_duration","duration_normalized","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_h2_duration_continuous_2015_2020_m1","10000"
