"QueueRank","Candidate","CandidateRank","Family","Role","Phase","Window","From","To","Model","Deposit","SignalTimeframe","ATRPeriod","ADXPeriod","RSIPeriod","BollingerPeriod","VWAPLookbackBars","StopLookbackBars","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rvtf_h1_control","1","h1","control","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16385","14","14","14","20","48","5","rvtf_h1_control_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\001_rvtf_h1_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\001_rvtf_h1_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_older_2015_2018_m1","DD2DD824310E0D7B5B69B0D0590484C063D07CF6D88EB2D31F2D3D9E372CFC1E","3904FF918A0DE02464219132CF1141C4A87B3D3ED93A9E72D63A3F5A2E3EC7F6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"2","rvtf_h1_control","1","h1","control","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16385","14","14","14","20","48","5","rvtf_h1_control_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\002_rvtf_h1_control_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\002_rvtf_h1_control_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_discovery_2019_2020_m1","7069F5C919E69420EBBDDD2B727FD566DDF16C6E07E100CCB22857374E07159D","3904FF918A0DE02464219132CF1141C4A87B3D3ED93A9E72D63A3F5A2E3EC7F6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"3","rvtf_h1_control","1","h1","control","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16385","14","14","14","20","48","5","rvtf_h1_control_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\003_rvtf_h1_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\003_rvtf_h1_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_continuous_2015_2020_m1","29C640CAB3345B4938167A07E313D655229A4AF3FFA67E652A08D24577A17429","3904FF918A0DE02464219132CF1141C4A87B3D3ED93A9E72D63A3F5A2E3EC7F6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"4","rvtf_m30_local","2","m30","local_bars","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","30","14","14","14","20","48","5","rvtf_m30_local_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\004_rvtf_m30_local_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\004_rvtf_m30_local_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_older_2015_2018_m1","DC64BC8B623E76616FC62FCBCC1117B1DE11663267A9A8A3622DD4801795D289","E6A78C60038F327A492B85C482FF08DEE00D408C8868A8542D3E3A8F8FB8F504","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"5","rvtf_m30_local","2","m30","local_bars","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","14","14","14","20","48","5","rvtf_m30_local_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\005_rvtf_m30_local_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\005_rvtf_m30_local_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_discovery_2019_2020_m1","E30966EF653028DA9ABA7B7C984E4E17F7A88675C5528141E189D8B9C74B42A9","E6A78C60038F327A492B85C482FF08DEE00D408C8868A8542D3E3A8F8FB8F504","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"6","rvtf_m30_local","2","m30","local_bars","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","14","14","14","20","48","5","rvtf_m30_local_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\006_rvtf_m30_local_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\006_rvtf_m30_local_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_continuous_2015_2020_m1","00A626BD6C3650DD6A1A294174F7A8E9F5B81AA3418B688A8A9A9E4C2AB1AA0F","E6A78C60038F327A492B85C482FF08DEE00D408C8868A8542D3E3A8F8FB8F504","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"7","rvtf_m30_mid","3","m30","mid_duration","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","30","21","21","21","30","72","8","rvtf_m30_mid_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\007_rvtf_m30_mid_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\007_rvtf_m30_mid_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_older_2015_2018_m1","C8146279B5EF31808B99C8995EBFA3F149B6A83B8625FB92AC1A47E958544B8C","138B70D03E0A6415A1437281A543CC1612CAE2951F24B47422491F183545A0F7","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"8","rvtf_m30_mid","3","m30","mid_duration","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","21","21","21","30","72","8","rvtf_m30_mid_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\008_rvtf_m30_mid_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\008_rvtf_m30_mid_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_discovery_2019_2020_m1","CAB1E82C72D952976C5BB29BEDA41E2722B94F3410277FFD5D0C219EF00FCB38","138B70D03E0A6415A1437281A543CC1612CAE2951F24B47422491F183545A0F7","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"9","rvtf_m30_mid","3","m30","mid_duration","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","21","21","21","30","72","8","rvtf_m30_mid_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\009_rvtf_m30_mid_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\009_rvtf_m30_mid_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_continuous_2015_2020_m1","A96077C5E65EF7B7218F75A8241EE8D57274D7BF8CA493033936E2F989AF853C","138B70D03E0A6415A1437281A543CC1612CAE2951F24B47422491F183545A0F7","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"10","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","30","28","28","28","40","96","10","rvtf_m30_duration_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\010_rvtf_m30_duration_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\010_rvtf_m30_duration_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_older_2015_2018_m1","1AD3067316F195B952182D5ECD0D8F209DEFA4E640756570D9EA63CE01B5F294","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
