"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","1","reversion_timeframe_transfer_discovery_model1","rvtf_h1_control","control","older_2015_2018","2015.01.01","2018.12.31","rvtf_h1_control_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_older_2015_2018_m1.htm","10000","1460","3.9973","482.9","10482.9","4.83","1.21","1.19","3.28","28.41","11.63","52.94","17","2","88.14","0.88","55.3","88.14","5.4788"
"2","2","reversion_timeframe_transfer_discovery_model1","rvtf_h1_control","control","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_h1_control_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_discovery_2019_2020_m1.htm","10000","730","1.9986","89.73","10089.73","0.9","0.45","0.45","3.08","44.87","0.6","50","2","1","79.47","0.78","43.23","79.47","1.1291"
"3","3","reversion_timeframe_transfer_discovery_model1","rvtf_h1_control","control","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_h1_control_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_continuous_2015_2020_m1.htm","10000","2191","5.9986","568.7","10568.7","5.69","0.95","0.93","3.19","29.93","14.55","52.63","19","2","88.14","0.88","55.3","88.14","6.4522"
"4","4","reversion_timeframe_transfer_discovery_model1","rvtf_m30_local","local_bars","older_2015_2018","2015.01.01","2018.12.31","rvtf_m30_local_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_older_2015_2018_m1.htm","10000","1460","3.9973","5.68","10005.68","0.06","0.01","0.01","1.03","0.47","0.16","33.33","12","6","214.5","2.1","117.6","214.5","0.0265"
"5","5","reversion_timeframe_transfer_discovery_model1","rvtf_m30_local","local_bars","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_m30_local_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_discovery_2019_2020_m1.htm","10000","730","1.9986","-307.99","9692.01","-3.08","-1.54","-1.55","0","-38.5","-1.53","0","8","8","386.14","3.83","307.99","386.14","-0.7976"
"6","6","reversion_timeframe_transfer_discovery_model1","rvtf_m30_local","local_bars","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_m30_local_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_continuous_2015_2020_m1.htm","10000","2191","5.9986","-302.31","9697.69","-3.02","-0.5","-0.51","0.38","-15.12","-5","20","20","9","515.09","5.04","424.49","515.09","-0.5869"
"7","7","reversion_timeframe_transfer_discovery_model1","rvtf_m30_mid","mid_duration","older_2015_2018","2015.01.01","2018.12.31","rvtf_m30_mid_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_older_2015_2018_m1.htm","10000","1460","3.9973","-10.03","9989.97","-0.1","-0.03","-0.03","0.97","-0.67","-0.18","33.33","15","3","169.43","1.69","121.85","169.43","-0.0592"
"8","8","reversion_timeframe_transfer_discovery_model1","rvtf_m30_mid","mid_duration","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_m30_mid_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_discovery_2019_2020_m1.htm","10000","730","1.9986","-86.74","9913.26","-0.87","-0.43","-0.43","0.56","-12.39","-0.59","14.29","7","6","230.91","2.31","195.41","230.91","-0.3756"
"9","9","reversion_timeframe_transfer_discovery_model1","rvtf_m30_mid","mid_duration","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_m30_mid_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_continuous_2015_2020_m1.htm","10000","2191","5.9986","-96.77","9903.23","-0.97","-0.16","-0.16","0.82","-4.4","-2.11","27.27","22","8","314.08","3.11","250.23","314.08","-0.3081"
"10","10","reversion_timeframe_transfer_discovery_model1","rvtf_m30_duration","duration_normalized","older_2015_2018","2015.01.01","2018.12.31","rvtf_m30_duration_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_older_2015_2018_m1.htm","10000","1460","3.9973","-118.63","9881.37","-1.19","-0.3","-0.3","0","-29.66","-1.46","0","4","4","118.63","1.19","118.63","118.63","-1"
"11","11","reversion_timeframe_transfer_discovery_model1","rvtf_m30_duration","duration_normalized","discovery_2019_2020","2019.01.01","2020.12.31","rvtf_m30_duration_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_discovery_2019_2020_m1.htm","10000","730","1.9986","67.03","10067.03","0.67","0.34","0.33","1.91","22.34","0.23","33.33","3","2","104.77","1.05","73.77","104.77","0.6398"
"12","12","reversion_timeframe_transfer_discovery_model1","rvtf_m30_duration","duration_normalized","continuous_2015_2020","2015.01.01","2020.12.31","rvtf_m30_duration_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_continuous_2015_2020_m1.htm","10000","2191","5.9986","-51.6","9948.4","-0.52","-0.09","-0.09","0.73","-7.37","-0.35","14.29","7","6","216.2","2.16","192.4","216.2","-0.2387"
