"QueueRank","Candidate","CandidateRank","Family","Role","Phase","Window","From","To","Model","Deposit","SignalTimeframe","ATRPeriod","ADXPeriod","RSIPeriod","BollingerPeriod","VWAPLookbackBars","StopLookbackBars","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","rvtf_h1_control","1","h1","control","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16385","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_older_2015_2018_m1.htm","3904FF918A0DE02464219132CF1141C4A87B3D3ED93A9E72D63A3F5A2E3EC7F6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","482.9","10482.9","4.83","1.21","1.19","3.28","28.41","11.63","52.94","17","2","88.14","0.88","5.4788"
"2","rvtf_h1_control","1","h1","control","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16385","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_discovery_2019_2020_m1.htm","3904FF918A0DE02464219132CF1141C4A87B3D3ED93A9E72D63A3F5A2E3EC7F6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","89.73","10089.73","0.9","0.45","0.45","3.08","44.87","0.6","50","2","1","79.47","0.78","1.1291"
"3","rvtf_h1_control","1","h1","control","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16385","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_continuous_2015_2020_m1.htm","3904FF918A0DE02464219132CF1141C4A87B3D3ED93A9E72D63A3F5A2E3EC7F6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","568.7","10568.7","5.69","0.95","0.93","3.19","29.93","14.55","52.63","19","2","88.14","0.88","6.4522"
"4","rvtf_m30_local","2","m30","local_bars","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","30","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_older_2015_2018_m1.htm","E6A78C60038F327A492B85C482FF08DEE00D408C8868A8542D3E3A8F8FB8F504","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","5.68","10005.68","0.06","0.01","0.01","1.03","0.47","0.16","33.33","12","6","214.5","2.1","0.0265"
"5","rvtf_m30_local","2","m30","local_bars","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_discovery_2019_2020_m1.htm","E6A78C60038F327A492B85C482FF08DEE00D408C8868A8542D3E3A8F8FB8F504","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","-307.99","9692.01","-3.08","-1.54","-1.55","0","-38.5","-1.53","0","8","8","386.14","3.83","-0.7976"
"6","rvtf_m30_local","2","m30","local_bars","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_continuous_2015_2020_m1.htm","E6A78C60038F327A492B85C482FF08DEE00D408C8868A8542D3E3A8F8FB8F504","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","-302.31","9697.69","-3.02","-0.5","-0.51","0.38","-15.12","-5","20","20","9","515.09","5.04","-0.5869"
"7","rvtf_m30_mid","3","m30","mid_duration","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","30","21","21","21","30","72","8","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_older_2015_2018_m1.htm","138B70D03E0A6415A1437281A543CC1612CAE2951F24B47422491F183545A0F7","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","-10.03","9989.97","-0.1","-0.03","-0.03","0.97","-0.67","-0.18","33.33","15","3","169.43","1.69","-0.0592"
"8","rvtf_m30_mid","3","m30","mid_duration","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","21","21","21","30","72","8","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_discovery_2019_2020_m1.htm","138B70D03E0A6415A1437281A543CC1612CAE2951F24B47422491F183545A0F7","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","-86.74","9913.26","-0.87","-0.43","-0.43","0.56","-12.39","-0.59","14.29","7","6","230.91","2.31","-0.3756"
"9","rvtf_m30_mid","3","m30","mid_duration","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","21","21","21","30","72","8","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_continuous_2015_2020_m1.htm","138B70D03E0A6415A1437281A543CC1612CAE2951F24B47422491F183545A0F7","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","-96.77","9903.23","-0.97","-0.16","-0.16","0.82","-4.4","-2.11","27.27","22","8","314.08","3.11","-0.3081"
"10","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","30","28","28","28","40","96","10","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_older_2015_2018_m1.htm","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","-118.63","9881.37","-1.19","-0.3","-0.3","0","-29.66","-1.46","0","4","4","118.63","1.19","-1"
"11","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","28","28","28","40","96","10","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_discovery_2019_2020_m1.htm","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","67.03","10067.03","0.67","0.34","0.33","1.91","22.34","0.23","33.33","3","2","104.77","1.05","0.6398"
"12","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","28","28","28","40","96","10","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_continuous_2015_2020_m1.htm","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","2191","5.9986","-51.6","9948.4","-0.52","-0.09","-0.09","0.73","-7.37","-0.35","14.29","7","6","216.2","2.16","-0.2387"
"13","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_older_2015_2018_m1.htm","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","1460","3.9973","194.31","10194.31","1.94","0.49","0.48","6.73","64.77","0.54","66.67","3","1","92.85","0.92","2.0927"
"14","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","14","14","14","20","48","5","PARSED","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_discovery_2019_2020_m1.htm","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","10000","730","1.9986","132.62","10132.62","1.33","0.66","0.66","2.57","33.15","0.58","50","4","2","95.17","0.93","1.3935"
