"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageConfigSha256","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","ReportSha256","ReportIdentityPath","ReportIdentityReused","Started","Finished"
"1","1","rvtf_h1_control","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","DD2DD824310E0D7B5B69B0D0590484C063D07CF6D88EB2D31F2D3D9E372CFC1E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","AED6E14749A4A92704EBF266D5A034692DAB2A575E6C0EF55453BF0F53739AC8","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_older_2015_2018_m1.identity.json","False","2026-07-20T12:09:23","2026-07-20T12:09:45"
"2","2","rvtf_h1_control","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7069F5C919E69420EBBDDD2B727FD566DDF16C6E07E100CCB22857374E07159D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","7744A7D9BF71C18F5D1BFBD161E2B9E271EAB9D89A070C038ED470E13F9F676C","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:04:51","2026-07-20T12:05:31"
"3","3","rvtf_h1_control","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","29C640CAB3345B4938167A07E313D655229A4AF3FFA67E652A08D24577A17429","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","9160C534CD462517BBB4C011C388EF542949DDEDEA3DAF694DC252B66AA5FB12","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h1_control_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:04:51","2026-07-20T12:05:37"
"4","4","rvtf_m30_local","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","DC64BC8B623E76616FC62FCBCC1117B1DE11663267A9A8A3622DD4801795D289","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","4E5410BDD48BFBEAB70031C11F0523B79F8937703F3F640E8DA6B45070522B39","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_older_2015_2018_m1.identity.json","False","2026-07-20T12:04:52","2026-07-20T12:05:37"
"1","5","rvtf_m30_local","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","E30966EF653028DA9ABA7B7C984E4E17F7A88675C5528141E189D8B9C74B42A9","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","99C901B9315E2C9A7BE2294106028D58F39BC1A0AE6D0B632DE9310D08BEA274","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:05:34","2026-07-20T12:06:14"
"2","6","rvtf_m30_local","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","00A626BD6C3650DD6A1A294174F7A8E9F5B81AA3418B688A8A9A9E4C2AB1AA0F","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","4315E3D75198F6274BE753FC37CA43FDE20F3C52CC5384B129FDF46175A8E2B2","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_local_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:05:31","2026-07-20T12:06:04"
"3","7","rvtf_m30_mid","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","C8146279B5EF31808B99C8995EBFA3F149B6A83B8625FB92AC1A47E958544B8C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","2EFA272E7BC4DC8F9B0F4C61110CE29E0AD3435E48CB9B19C8F2809BB2DFAAAC","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_older_2015_2018_m1.identity.json","False","2026-07-20T12:05:37","2026-07-20T12:06:18"
"1","8","rvtf_m30_mid","discovery_2019_2020","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","CAB1E82C72D952976C5BB29BEDA41E2722B94F3410277FFD5D0C219EF00FCB38","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","63029BE46BB5E404ABB58C0EDBBB0DA402F968B628F746BA3C537C3CD469C1E5","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_discovery_2019_2020_m1.identity.json","False","2026-07-20T12:09:45","2026-07-20T12:10:05"
"1","9","rvtf_m30_mid","continuous_2015_2020","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","A96077C5E65EF7B7218F75A8241EE8D57274D7BF8CA493033936E2F989AF853C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","EEDE52AAE3952B6FA427B8EEC9405B09933CE51B18FBFB89EA0C1F27A170462E","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_mid_continuous_2015_2020_m1.identity.json","False","2026-07-20T12:06:14","2026-07-20T12:06:59"
"2","10","rvtf_m30_duration","older_2015_2018","REPORT_FOUND","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","1AD3067316F195B952182D5ECD0D8F209DEFA4E640756570D9EA63CE01B5F294","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D9B60597A7D44D142FD9283147B1C32BED61B7A4A7FD4EA2462D6E59439719B4","False","BDA0E6FCCCE3F4C69811825ED137534AA1274EB2D42F4DF9B257F5C48C990F4B","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_older_2015_2018_m1.identity.json","False","2026-07-20T12:06:04","2026-07-20T12:06:31"
