"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"3","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2015","2015.01.01","2015.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\001_tlat_rc2_decomp_atb150_year_2015_m4.ini","tlat_rc2_decomp_atb150_year_2015_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2015_m4","86490158CCBDFD87AD5D2759A7536BF120574A7C17AAFB6256113FCD46DF5AD3","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"6","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2016","2016.01.01","2016.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\002_tlat_rc2_decomp_atb150_year_2016_m4.ini","tlat_rc2_decomp_atb150_year_2016_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2016_m4","472C54C052F459263F9D0176F99B1BD01D261C331D93CEF0CC727FA65023C4AD","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"9","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2017","2017.01.01","2017.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\003_tlat_rc2_decomp_atb150_year_2017_m4.ini","tlat_rc2_decomp_atb150_year_2017_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2017_m4","674D2558B2A56477629E04A5F2EB679B71BD897DB44F98DB672BF4D03CFBEF6D","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"12","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2018","2018.01.01","2018.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\004_tlat_rc2_decomp_atb150_year_2018_m4.ini","tlat_rc2_decomp_atb150_year_2018_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2018_m4","DFC65B44F15809D0C9B2C38709C21A0294382A44A0F2982D2BCEA86BDA56CD8D","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"15","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2019","2019.01.01","2019.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\005_tlat_rc2_decomp_atb150_year_2019_m4.ini","tlat_rc2_decomp_atb150_year_2019_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2019_m4","EF280E5D0F74E675B0BA72AB3DC6AF8CF3225D15EECCC2BA47E5A6115E657F67","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"18","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2020","2020.01.01","2020.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\006_tlat_rc2_decomp_atb150_year_2020_m4.ini","tlat_rc2_decomp_atb150_year_2020_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2020_m4","697A38EB60D4DC8E97A6AA28146AEF27D0FC7D19460D4A52A3F09D4837ED13DD","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"21","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2021","2021.01.01","2021.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\007_tlat_rc2_decomp_atb150_year_2021_m4.ini","tlat_rc2_decomp_atb150_year_2021_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2021_m4","2DA400B9338A8BF9081F256C957A52F8A03A3705DD1B757A9DD4515BADB726E5","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"24","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2022","2022.01.01","2022.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\008_tlat_rc2_decomp_atb150_year_2022_m4.ini","tlat_rc2_decomp_atb150_year_2022_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2022_m4","A8B1E75A43C3DA40114A96E282393103C928B8A84F78052FFBD2BBA0898BAED6","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"27","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2023","2023.01.01","2023.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\009_tlat_rc2_decomp_atb150_year_2023_m4.ini","tlat_rc2_decomp_atb150_year_2023_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2023_m4","5112D478EDB3A344A0BB303E79D4FF87ACC4E564A6B8FEA7DD437CECB5901E1C","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
"30","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecompannual","trade_ready_rc2","year_2024","2024.01.01","2024.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\configs\010_tlat_rc2_decomp_atb150_year_2024_m4.ini","tlat_rc2_decomp_atb150_year_2024_m4","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2024_m4","6599238102D3DC25CA0EE1D23C3DE73DA01B12386052E8A6F02B8B59ADB821D9","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","3D7E08633002E77DF5CB5B9C164255F6E74FD2C5969513851272CAADFB2B5E4B"
