"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","404","2105.08","4704.79","2599.71","1.8097","44.31","5.21","1076.03"
"EntrySubtype","other","404","2105.08","4704.79","2599.71","1.8097","44.31","5.21","1076.03"
"EntryHour","0","1","33.79","33.79","0","INF","100","33.79","2406"
"EntryHour","1","8","62.23","118.88","56.65","2.0985","25","7.78","2347.74"
"EntryHour","10","58","78.05","463.33","385.28","1.2026","41.38","1.35","788.3"
"EntryHour","11","43","117.86","374.45","256.59","1.4593","44.19","2.74","806.17"
"EntryHour","12","27","16.06","172.59","156.53","1.1026","40.74","0.59","1757.97"
"EntryHour","13","22","233.62","377.89","144.27","2.6193","45.45","10.62","461.84"
"EntryHour","14","7","11.67","61.59","49.92","1.2338","42.86","1.67","368.11"
"EntryHour","15","27","202.74","381.24","178.5","2.1358","59.26","7.51","740.04"
"EntryHour","16","50","56.92","386.8","329.88","1.1725","46","1.14","1652.14"
"EntryHour","17","17","27.71","122.27","94.56","1.293","35.29","1.63","675.18"
"EntryHour","18","7","232.55","320.81","88.26","3.6348","57.14","33.22","674.2"
"EntryHour","19","5","3.93","80.84","76.91","1.0511","20","0.79","1502.44"
"EntryHour","20","10","190.34","249.5","59.16","4.2174","80","19.03","3401.45"
"EntryHour","21","3","157.78","169.1","11.32","14.9382","66.67","52.59","883.58"
"EntryHour","22","3","100.04","124.8","24.76","5.0404","66.67","33.35","876.48"
"EntryHour","3","3","332.31","332.31","0","INF","100","110.77","1229.06"
"EntryHour","4","4","-46.31","0","46.31","0","0","-11.58","2238.86"
"EntryHour","5","3","24.97","71.47","46.5","1.537","33.33","8.32","648.92"
"EntryHour","6","25","2.66","152.19","149.53","1.0178","28","0.11","697.28"
"EntryHour","7","18","182.1","261.22","79.12","3.3016","55.56","10.12","654.29"
"EntryHour","8","31","-0.07","173.47","173.54","0.9996","38.71","0","1227.86"
"EntryHour","9","32","84.13","276.25","192.12","1.4379","43.75","2.63","796.41"
"EntryYear","2015","26","170.78","332.15","161.37","2.0583","53.85","6.57","1650.22"
"EntryYear","2016","42","251.41","471.67","220.26","2.1414","45.24","5.99","1265.69"
"EntryYear","2017","55","138.29","527.52","389.23","1.3553","38.18","2.51","901.82"
"EntryYear","2018","65","264.74","603.83","339.09","1.7807","44.62","4.07","1351.24"
"EntryYear","2019","36","43.67","235.2","191.53","1.228","41.67","1.21","1556.77"
"EntryYear","2020","30","223.69","425.36","201.67","2.1092","50","7.46","1327.84"
"EntryYear","2021","32","343.19","599.68","256.49","2.338","28.12","10.72","582.82"
"EntryYear","2022","37","36.73","277.82","241.09","1.1523","43.24","0.99","539.94"
"EntryYear","2023","44","189.66","518.01","328.35","1.5776","47.73","4.31","857.26"
"EntryYear","2024","32","200.66","462","261.34","1.7678","50","6.27","725.85"
"EntryYear","2025","3","33.08","42.37","9.29","4.5608","66.67","11.03","527.68"
"EntryYear","2026","2","209.18","209.18","0","INF","100","104.59","2092.12"
"EntryMonth","1","46","339.01","626.64","287.63","2.1786","52.17","7.37","1810.19"
"EntryMonth","10","40","491.72","699.3","207.58","3.3688","40","12.29","669.76"
"EntryMonth","11","36","291.71","545.36","253.65","2.15","44.44","8.1","950.39"
"EntryMonth","12","44","29.15","373.9","344.75","1.0846","38.64","0.66","1543.97"
"EntryMonth","2","30","-55.06","240.45","295.51","0.8137","30","-1.84","715.05"
"EntryMonth","3","33","69.45","256.4","186.95","1.3715","54.55","2.1","738.77"
"EntryMonth","4","15","69.45","167.5","98.05","1.7083","46.67","4.63","655.18"
"EntryMonth","5","25","150.46","270.42","119.96","2.2543","44","6.02","700.78"
"EntryMonth","6","31","235.25","390.54","155.29","2.5149","48.39","7.59","1269.56"
"EntryMonth","7","43","126.95","416.31","289.36","1.4387","44.19","2.95","1517.7"
"EntryMonth","8","31","182.63","340.87","158.24","2.1541","51.61","5.89","684.22"
"EntryMonth","9","30","174.36","377.1","202.74","1.86","36.67","5.81","783.41"
"Side","buy","244","1221.22","2674.95","1453.73","1.8401","44.67","5","1036.31"
"Side","sell","160","883.86","2029.84","1145.98","1.7713","43.75","5.52","1136.61"
"DayOfWeek","Friday","91","416.27","1017.63","601.36","1.6922","43.96","4.57","1551.6"
"DayOfWeek","Monday","69","529.43","996.91","467.48","2.1325","43.48","7.67","990.64"
"DayOfWeek","Thursday","83","390.35","876.85","486.5","1.8024","53.01","4.7","1258.31"
"DayOfWeek","Tuesday","73","273.07","785","511.93","1.5334","39.73","3.74","871.77"
"DayOfWeek","Wednesday","88","495.96","1028.4","532.44","1.9315","40.91","5.64","648.73"
