EntryTime,Lane,Volume,EntryBalance,InitialRiskMoney,LaneRiskPercent,LaneCapPercent,OpenPositionsAfterEntry,PortfolioInitialRiskPercent,PortfolioCapPercent,LanePass,PortfolioPass,EntryComment
2015-01-05T18:00:00,reversion,0.09,10000.00,41.04,0.4104,0.45,1,0.4104,0.75,True,True,RRO;Band VWAP reversion;Upper
2015-01-08T06:00:00,momentum,0.02,9958.87,14.40,0.1446,0.15,1,0.1446,0.75,True,True,MTSM_SELL
2015-03-11T12:00:00,momentum,0.02,9952.67,13.26,0.1332,0.15,1,0.1332,0.75,True,True,MTSM_SELL
2015-05-13T15:00:00,momentum,0.02,9958.09,10.98,0.1103,0.15,1,0.1103,0.75,True,True,MTSM_BUY
2015-06-03T20:00:00,adaptive_trend,0.01,9980.09,14.18,0.1421,0.15,1,0.1421,0.75,True,True,ATB_H4_SELL
2015-06-04T16:00:00,momentum,0.02,9980.09,14.08,0.1411,0.15,2,0.2832,0.75,True,True,MTSM_SELL
2015-06-15T20:00:00,reversion,0.1,10009.29,27.30,0.2727,0.45,1,0.2727,0.75,True,True,RRO;Band VWAP reversion;Upper
2015-06-30T14:00:00,momentum,0.03,10078.63,13.56,0.1345,0.15,1,0.1345,0.75,True,True,MTSM_SELL
2015-06-30T16:00:00,adaptive_trend,0.01,10078.63,13.49,0.1338,0.15,2,0.2684,0.75,True,True,ATB_H4_SELL
2015-07-02T10:00:00,momentum,0.04,10067.95,12.68,0.1259,0.15,2,0.2599,0.75,True,True,MTSM_SELL
2015-07-06T11:00:00,momentum,0.03,10092.43,14.25,0.1412,0.15,1,0.1412,0.75,True,True,MTSM_SELL
2015-07-07T16:00:00,adaptive_trend,0.01,10083.37,13.33,0.1322,0.15,1,0.1322,0.75,True,True,ATB_H4_SELL
2015-07-22T15:00:00,momentum,0.01,10109.46,8.28,0.0819,0.15,1,0.0819,0.75,True,True,MTSM_SELL
2015-07-31T10:00:00,momentum,0.03,10102.27,14.55,0.1440,0.15,1,0.1440,0.75,True,True,MTSM_SELL
2015-09-03T13:00:00,momentum,0.03,10087.66,12.00,0.1190,0.15,1,0.1190,0.75,True,True,MTSM_SELL
2015-10-02T10:00:00,momentum,0.05,10111.69,15.00,0.1483,0.15,1,0.1483,0.75,True,True,MTSM_SELL
2015-10-28T08:00:00,adaptive_trend,0.01,10113.14,10.90,0.1078,0.15,1,0.1078,0.75,True,True,ATB_H4_BUY
2015-11-05T18:00:00,reversion,0.1,10113.76,33.90,0.3352,0.45,1,0.3352,0.75,True,True,RRO;Band VWAP reversion;Lower
2015-11-11T17:00:00,momentum,0.03,10079.76,12.99,0.1289,0.15,1,0.1289,0.75,True,True,MTSM_SELL
2015-11-20T13:00:00,reversion,0.1,10072.18,26.10,0.2591,0.45,1,0.2591,0.75,True,True,RRO;Band VWAP reversion;Upper
2015-11-25T16:00:00,momentum,0.03,10168.28,15.09,0.1484,0.15,1,0.1484,0.75,True,True,MTSM_SELL
2015-12-07T16:00:00,momentum,0.03,10162.62,12.72,0.1252,0.15,1,0.1252,0.75,True,True,MTSM_SELL
2015-12-11T04:00:00,adaptive_trend,0.01,10188.19,11.28,0.1107,0.15,1,0.1107,0.75,True,True,ATB_H4_SELL
2015-12-17T16:00:00,momentum,0.01,10176.90,9.35,0.0919,0.15,1,0.0919,0.75,True,True,MTSM_SELL
2015-12-23T11:00:00,momentum,0.03,10183.36,13.41,0.1317,0.15,1,0.1317,0.75,True,True,MTSM_SELL
2015-12-28T18:00:00,momentum,0.05,10183.91,14.80,0.1453,0.15,1,0.1453,0.75,True,True,MTSM_SELL
2016-01-11T03:00:00,reversion,0.1,10170.78,24.70,0.2429,0.45,1,0.2429,0.75,True,True,RRO;Band VWAP reversion;Upper
2016-01-13T10:00:00,momentum,0.04,10223.58,14.60,0.1428,0.15,1,0.1428,0.75,True,True,MTSM_SELL
2016-01-25T10:00:00,momentum,0.03,10208.98,14.97,0.1466,0.15,1,0.1466,0.75,True,True,MTSM_BUY
2016-01-26T09:00:00,momentum,0.02,10238.57,12.12,0.1184,0.15,1,0.1184,0.75,True,True,MTSM_BUY
2016-01-28T01:05:00,reversion,0.1,10231.79,28.90,0.2825,0.45,1,0.2825,0.75,True,True,RRO;Band VWAP reversion;Upper
2016-02-01T10:00:00,momentum,0.05,10318.99,14.45,0.1400,0.15,1,0.1400,0.75,True,True,MTSM_BUY
