"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","383","2317.95","5499.54","3181.59","1.7286","43.86","6.05","825.75"
"EntrySubtype","other","383","2317.95","5499.54","3181.59","1.7286","43.86","6.05","825.75"
"EntryHour","1","6","99.14","126.8","27.66","4.5842","33.33","16.52","1866.42"
"EntryHour","10","58","58.9","563.59","504.69","1.1167","41.38","1.02","596.72"
"EntryHour","11","43","23.75","416.6","392.85","1.0605","39.53","0.55","593.7"
"EntryHour","12","25","37.23","221.74","184.51","1.2018","44","1.49","1480.81"
"EntryHour","13","22","234.34","421.06","186.72","2.255","45.45","10.65","461.84"
"EntryHour","14","7","2.52","68.64","66.12","1.0381","42.86","0.36","368.11"
"EntryHour","15","27","232.02","479.58","247.56","1.9372","55.56","8.59","737.29"
"EntryHour","16","43","132.26","474.29","342.03","1.3867","48.84","3.08","1080.69"
"EntryHour","17","17","58","175.95","117.95","1.4917","35.29","3.41","675.18"
"EntryHour","18","7","260.83","356.29","95.46","3.7323","57.14","37.26","674.2"
"EntryHour","19","5","-12.81","80.84","93.65","0.8632","20","-2.56","1502.44"
"EntryHour","20","6","196.74","239.58","42.84","5.5924","83.33","32.79","2967.12"
"EntryHour","21","3","184.37","195.69","11.32","17.2871","66.67","61.46","883.58"
"EntryHour","22","3","100.04","124.8","24.76","5.0404","66.67","33.35","876.48"
"EntryHour","3","3","401.16","401.16","0","INF","100","133.72","1229.06"
"EntryHour","4","1","-11.29","0","11.29","0","0","-11.29","771.63"
"EntryHour","5","3","60.7","107.2","46.5","2.3054","33.33","20.23","648.92"
"EntryHour","6","25","-24.58","181.85","206.43","0.8809","28","-0.98","697.28"
"EntryHour","7","18","207.98","327.55","119.57","2.7394","50","11.55","534.32"
"EntryHour","8","29","40.71","224.1","183.39","1.222","41.38","1.4","986.58"
"EntryHour","9","32","35.94","312.23","276.29","1.1301","40.62","1.12","622.91"
"EntryYear","2015","24","186.76","367.77","181.01","2.0318","54.17","7.78","768.85"
"EntryYear","2016","38","205.76","484.22","278.46","1.7389","44.74","5.41","780.93"
"EntryYear","2017","54","165.68","623.84","458.16","1.3616","38.89","3.07","849.39"
"EntryYear","2018","61","315.69","687.14","371.45","1.8499","45.9","5.18","1059.79"
"EntryYear","2019","35","-14.05","257.27","271.32","0.9482","40","-0.4","1227.71"
"EntryYear","2020","29","191.82","478.28","286.46","1.6696","48.28","6.61","1125.35"
"EntryYear","2021","30","387.44","684.21","296.77","2.3055","30","12.91","387.51"
"EntryYear","2022","36","0.7","333.57","332.87","1.0021","41.67","0.02","521.93"
"EntryYear","2023","41","204.43","585.59","381.16","1.5363","46.34","4.99","725"
"EntryYear","2024","30","324.39","629.74","305.35","2.0624","46.67","10.81","536.95"
"EntryYear","2025","3","35.57","54.15","18.58","2.9144","66.67","11.86","527.68"
"EntryYear","2026","2","313.76","313.76","0","INF","100","156.88","2092.12"
"EntryMonth","1","41","324.97","657.19","332.22","1.9782","48.78","7.93","1239.78"
"EntryMonth","10","38","538.06","792.75","254.69","3.1126","39.47","14.16","599.99"
"EntryMonth","11","35","330.32","631.51","301.19","2.0967","45.71","9.44","858.13"
"EntryMonth","12","40","-15.03","394.89","409.92","0.9633","37.5","-0.38","772.92"
"EntryMonth","2","29","-39.96","287.39","327.35","0.8779","31.03","-1.38","707"
"EntryMonth","3","33","76.93","322.38","245.45","1.3134","54.55","2.33","738.77"
"EntryMonth","4","14","19.15","157.77","138.62","1.1381","42.86","1.37","494.09"
"EntryMonth","5","25","187.72","364.99","177.27","2.0589","44","7.51","700.78"
"EntryMonth","6","28","233.37","440.71","207.34","2.1255","46.43","8.33","1004.7"
"EntryMonth","7","41","244.21","579.14","334.93","1.7291","43.9","5.96","1119.29"
"EntryMonth","8","29","245.21","410.04","164.83","2.4877","55.17","8.46","511.64"
"EntryMonth","9","30","173","460.78","287.78","1.6012","36.67","5.77","783.41"
"Side","buy","232","1263.1","3138.75","1875.65","1.6734","43.53","5.44","805.31"
"Side","sell","151","1054.85","2360.79","1305.94","1.8077","44.37","6.99","857.16"
"DayOfWeek","Friday","85","466.68","1172.48","705.8","1.6612","44.71","5.49","1361.88"
"DayOfWeek","Monday","68","607.35","1191.01","583.66","2.0406","41.18","8.93","760.09"
"DayOfWeek","Thursday","79","470.57","1064.63","594.06","1.7921","53.16","5.96","828.9"
"DayOfWeek","Tuesday","68","312.03","916.61","604.58","1.5161","39.71","4.59","544.58"
"DayOfWeek","Wednesday","83","461.32","1154.81","693.49","1.6652","39.76","5.56","557.86"
