"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2015","2015.01.01","2015.12.31","tlat_rc2_growth_125_year_2015_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2015_m4.htm","10000","364","0.9966","186.76","10186.76","1.87","1.87","1.87","2.03","7.78","25.25","54.17","24","2","96.08","0.96","51.9","96.08","1.9438"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2016","2016.01.01","2016.12.31","tlat_rc2_growth_125_year_2016_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2016_m4.htm","10000","365","0.9993","208.22","10208.22","2.08","2.08","2.08","1.76","5.48","21.17","44.74","38","5","65.46","0.64","39.78","65.46","3.1809"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2017","2017.01.01","2017.12.31","tlat_rc2_growth_125_year_2017_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2017_m4.htm","10000","364","0.9966","160.19","10160.19","1.6","1.61","1.61","1.36","2.97","14.16","38.89","54","6","119.74","1.19","105.37","119.74","1.3378"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2018","2018.01.01","2018.12.31","tlat_rc2_growth_125_year_2018_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2018_m4.htm","10000","364","0.9966","314.99","10314.99","3.15","3.16","3.16","1.92","5.25","23.74","46.67","60","4","66.16","0.64","55.56","66.16","4.761"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2019","2019.01.01","2019.12.31","tlat_rc2_growth_125_year_2019_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2019_m4.htm","10000","364","0.9966","5.33","10005.33","0.05","0.05","0.05","1.02","0.15","0.2","40","35","6","147.58","1.46","100.21","147.58","0.0361"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2020","2020.01.01","2020.12.31","tlat_rc2_growth_125_year_2020_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2020_m4.htm","10000","365","0.9993","203.26","10203.26","2.03","2.03","2.03","1.82","7.26","7.63","50","28","3","84.03","0.82","70.91","84.03","2.4189"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2021","2021.01.01","2021.12.31","tlat_rc2_growth_125_year_2021_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2021_m4.htm","10000","364","0.9966","379.32","10379.32","3.79","3.81","3.81","2.35","12.64","40.94","30","30","8","146.55","1.46","105.36","146.55","2.5883"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2022","2022.01.01","2022.12.31","tlat_rc2_growth_125_year_2022_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2022_m4.htm","10000","364","0.9966","27.49","10027.49","0.27","0.28","0.28","1.1","0.76","3.93","41.67","36","4","116.96","1.17","91.57","116.96","0.235"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2023","2023.01.01","2023.12.31","tlat_rc2_growth_125_year_2023_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2023_m4.htm","10000","364","0.9966","196.63","10196.63","1.97","1.97","1.97","1.6","4.8","15.82","46.34","41","6","133.85","1.32","101.38","133.85","1.469"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2024","2024.01.01","2024.12.31","tlat_rc2_growth_125_year_2024_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2024_m4.htm","10000","365","0.9993","281.69","10281.69","2.82","2.82","2.82","2.16","9.71","20.81","48.28","29","4","132.3","1.29","88.96","132.3","2.1292"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2025","2025.01.01","2025.12.31","tlat_rc2_growth_125_year_2025_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2025_m4.htm","10000","364","0.9966","35.57","10035.57","0.36","0.36","0.36","2.91","11.86","2.4","66.67","3","1","24.98","0.25","18.58","24.98","1.4239"
"","","growthannual","tlat_rc2_growth_125","trade_ready_rc2","year_2026_ytd","2026.01.01","2026.07.12","tlat_rc2_growth_125_year_2026_ytd_m4","PARSED","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2026_ytd_m4.htm","10000","192","0.5257","209.18","10209.18","2.09","3.98","4.02","0","104.59","0.31","100","2","0","121.24","1.19","0","121.24","1.7253"
