"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","growthdecomp","tlat_rc2_decomp_control","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_decomp_control_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_older_2015_2018_m1.htm","10000","1460","3.9973","837.64","10837.64","8.38","2.1","2.03","1.86","5.14","6.65","46.01","163","6","105.51","1.01","84.54","105.51","7.939"
"","","growthdecomp","tlat_rc2_decomp_control","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_decomp_control_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_middle_2019_2022_m1.htm","10000","1460","3.9973","616.92","10616.92","6.17","1.54","1.51","1.75","4.67","5.99","40.15","132","8","121.19","1.18","84.28","121.19","5.0905"
"","","growthdecomp","tlat_rc2_decomp_control","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_decomp_control_recent_2023_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_recent_2023_2026_m1.htm","10000","1288","3.5264","593.55","10593.55","5.94","1.68","1.65","2.3","7.91","5.56","48","75","6","127.62","1.21","93.11","127.62","4.6509"
"","","growthdecomp","tlat_rc2_decomp_control","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_decomp_control_continuous_2015_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_continuous_2015_2026_m1.htm","10000","4210","11.5264","2052.08","12052.08","20.52","1.78","1.63","1.84","5.5","5.52","44.5","373","8","137.73","1.18","126.94","137.73","14.8993"
"","","growthdecomp","tlat_rc2_decomp_atb125","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_decomp_atb125_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_older_2015_2018_m1.htm","10000","1460","3.9973","838.5","10838.5","8.38","2.1","2.03","1.81","4.76","5.88","44.89","176","6","105.51","1.01","84.54","105.51","7.9471"
"","","growthdecomp","tlat_rc2_decomp_atb125","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_decomp_atb125_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_middle_2019_2022_m1.htm","10000","1460","3.9973","657.34","10657.34","6.57","1.64","1.61","1.79","4.8","5.84","41.61","137","8","121.19","1.18","84.28","121.19","5.424"
"","","growthdecomp","tlat_rc2_decomp_atb125","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_decomp_atb125_recent_2023_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_recent_2023_2026_m1.htm","10000","1288","3.5264","601.99","10601.99","6.02","1.71","1.67","2.28","7.92","5.46","48.68","76","6","127.62","1.2","97.3","127.62","4.7171"
"","","growthdecomp","tlat_rc2_decomp_atb125","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_decomp_atb125_continuous_2015_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_continuous_2015_2026_m1.htm","10000","4210","11.5264","2084.32","12084.32","20.84","1.81","1.66","1.82","5.33","5.11","44.25","391","8","137.73","1.17","126.94","137.73","15.1334"
"","","growthdecomp","tlat_rc2_decomp_atb150","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_decomp_atb150_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb150_older_2015_2018_m1.htm","10000","1460","3.9973","860.86","10860.86","8.61","2.15","2.09","1.79","4.6","5.1","44.92","187","6","105.51","1.01","84.54","105.51","8.159"
"","","growthdecomp","tlat_rc2_decomp_atb150","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_decomp_atb150_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb150_middle_2019_2022_m1.htm","10000","1460","3.9973","694.54","10694.54","6.95","1.74","1.69","1.81","4.93","5.47","41.84","141","8","121.19","1.17","84.28","121.19","5.731"
