"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","growth","tlat_rc2_growth_100","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_growth_100_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_older_2015_2018_m1.htm","10000","1460","3.9973","837.64","10837.64","8.38","2.1","2.03","1.86","5.14","6.65","46.01","163","6","105.51","1.01","84.54","105.51","7.939"
"","","growth","tlat_rc2_growth_100","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_growth_100_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_middle_2019_2022_m1.htm","10000","1460","3.9973","616.92","10616.92","6.17","1.54","1.51","1.75","4.67","5.99","40.15","132","8","121.19","1.18","84.28","121.19","5.0905"
"","","growth","tlat_rc2_growth_100","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_growth_100_recent_2023_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_recent_2023_2026_m1.htm","10000","1288","3.5264","593.55","10593.55","5.94","1.68","1.65","2.3","7.91","5.56","48","75","6","127.62","1.21","93.11","127.62","4.6509"
"","","growth","tlat_rc2_growth_100","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_growth_100_continuous_2015_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_continuous_2015_2026_m1.htm","10000","4210","11.5264","2052.08","12052.08","20.52","1.78","1.63","1.84","5.5","5.52","44.5","373","8","137.73","1.18","126.94","137.73","14.8993"
"","","growth","tlat_rc2_growth_125","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_growth_125_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_older_2015_2018_m1.htm","10000","1460","3.9973","885.07","10885.07","8.85","2.21","2.14","1.69","5.03","5.36","44.89","176","6","126.85","1.21","101.03","126.85","6.9773"
"","","growth","tlat_rc2_growth_125","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_growth_125_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_middle_2019_2022_m1.htm","10000","1460","3.9973","675.1","10675.1","6.75","1.69","1.65","1.61","4.93","5.03","41.61","137","8","151.38","1.47","114.17","151.38","4.4596"
"","","growth","tlat_rc2_growth_125","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_growth_125_recent_2023_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_recent_2023_2026_m1.htm","10000","1288","3.5264","734.91","10734.91","7.35","2.08","2.03","2.14","9.67","5.57","48.68","76","6","137.51","1.34","124.81","137.51","5.3444"
"","","growth","tlat_rc2_growth_125","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_growth_125_continuous_2015_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_continuous_2015_2026_m1.htm","10000","4210","11.5264","2422.37","12422.37","24.22","2.1","1.9","1.75","6.2","4.95","44.25","391","8","191.43","1.54","145.16","191.43","12.6541"
"","","growth","tlat_rc2_growth_150","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_growth_150_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_150_older_2015_2018_m1.htm","10000","1460","3.9973","1064.84","11064.84","10.65","2.66","2.56","1.68","5.66","4.69","44.68","188","6","150.62","1.41","134.46","150.62","7.0697"
"","","growth","tlat_rc2_growth_150","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_growth_150_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_150_middle_2019_2022_m1.htm","10000","1460","3.9973","766.35","10766.35","7.66","1.92","1.86","1.57","5.44","4.52","41.84","141","8","181.62","1.74","155.08","181.62","4.2195"
"","","growth","tlat_rc2_growth_150","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_growth_150_recent_2023_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_150_recent_2023_2026_m1.htm","10000","1288","3.5264","894.25","10894.25","8.94","2.54","2.46","2.24","11.77","6.16","48.68","76","6","191.43","1.76","137.36","191.43","4.6714"
"","","growth","tlat_rc2_growth_150","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","tlat_rc2_growth_150_continuous_2015_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_150_continuous_2015_2026_m1.htm","10000","4210","11.5264","2908.84","12908.84","29.09","2.52","2.24","1.73","6.98","4.37","44.84","417","8","255.24","1.98","152.1","255.24","11.3965"
"","","growth","tlat_rc2_growth_200","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","tlat_rc2_growth_200_older_2015_2018_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_200_older_2015_2018_m1.htm","10000","1460","3.9973","1324.8","11324.8","13.25","3.31","3.16","1.61","6.59","4.04","44.28","201","6","202.39","1.89","156.09","202.39","6.5458"
"","","growth","tlat_rc2_growth_200","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","tlat_rc2_growth_200_middle_2019_2022_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_200_middle_2019_2022_m1.htm","10000","1460","3.9973","741.4","10741.4","7.41","1.85","1.81","1.38","4.55","2.82","41.1","163","9","262.65","2.49","205.68","262.65","2.8228"
"","","growth","tlat_rc2_growth_200","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","tlat_rc2_growth_200_recent_2023_2026_m1","PARSED","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_200_recent_2023_2026_m1.htm","10000","1288","3.5264","1176.5","11176.5","11.76","3.34","3.2","2.21","14.35","5.94","50","82","7","255.24","2.29","145.77","255.24","4.6094"
