"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"1","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\001_tlat_rc2_growth_100_older_2015_2018_m4.ini","tlat_rc2_growth_100_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_100_older_2015_2018_m4","0EDF5D8C8C80B277ABECD4BE7C647C2AAAB9CF55C07C743307DEB5CAB98ED94C","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"2","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\002_tlat_rc2_growth_100_middle_2019_2022_m4.ini","tlat_rc2_growth_100_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_100_middle_2019_2022_m4","86DEF9465DA344726AF093E5906F949553649C173EEFDD05B89FD19D999BEDAF","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"3","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\003_tlat_rc2_growth_100_recent_2023_2026_m4.ini","tlat_rc2_growth_100_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_100_recent_2023_2026_m4","6E54F2CAFCC1C249BC5326D1C87BDE8510A161A356B84BEEA5412303E8B6A4FF","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"4","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\004_tlat_rc2_growth_100_continuous_2015_2026_m4.ini","tlat_rc2_growth_100_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_100_continuous_2015_2026_m4","30FF813F2926C14F491491A9755ABE4F91BA75CA43E8197A77B05C974FD0481A","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"5","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\005_tlat_rc2_growth_125_older_2015_2018_m4.ini","tlat_rc2_growth_125_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_125_older_2015_2018_m4","6D11457FCCAA14F0559AC079B38F1FCA862D2993F6FEEE6EB901F75EE7882148","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"6","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\006_tlat_rc2_growth_125_middle_2019_2022_m4.ini","tlat_rc2_growth_125_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_125_middle_2019_2022_m4","A6FB70F4308134B2E9B12EAE7A94607F082E477C94176144FFA41B5AF522033C","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"7","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\007_tlat_rc2_growth_125_recent_2023_2026_m4.ini","tlat_rc2_growth_125_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_125_recent_2023_2026_m4","DA7EA1F4A77F105973277A89768CEB06F27D4E93F7CECD68852136A8AE13402F","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"8","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\008_tlat_rc2_growth_125_continuous_2015_2026_m4.ini","tlat_rc2_growth_125_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_125_continuous_2015_2026_m4","79F074819F59BE5BBB7F24C6F135C4BFCE8DD9690A308206B02FF9DC9B6EBF4B","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"9","tlat_rc2_growth_150","tlat_rc2_growth_150","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","1.50","0.675","0.225","0.15","1.125","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\009_tlat_rc2_growth_150_older_2015_2018_m4.ini","tlat_rc2_growth_150_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_150_older_2015_2018_m4","2F672A874AF78D0D697D1D06F0781C8F8C7BC1000A3119BBA4DCD5530C932778","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","E8D89F15B22AD48ADD794F6F0FAAEAD5ACA9D429F2DE6FD695672E2C61EA3C26"
"10","tlat_rc2_growth_150","tlat_rc2_growth_150","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","1.50","0.675","0.225","0.15","1.125","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\010_tlat_rc2_growth_150_middle_2019_2022_m4.ini","tlat_rc2_growth_150_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_150_middle_2019_2022_m4","F89FB3C050738ED4FDF3D5D1CB2246E86077FA12617E46658517B90D36C73407","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","E8D89F15B22AD48ADD794F6F0FAAEAD5ACA9D429F2DE6FD695672E2C61EA3C26"
"11","tlat_rc2_growth_150","tlat_rc2_growth_150","growth","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","1.50","0.675","0.225","0.15","1.125","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\011_tlat_rc2_growth_150_recent_2023_2026_m4.ini","tlat_rc2_growth_150_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_150_recent_2023_2026_m4","D5C51715A100FF78D97824188D011B56D5D27D96A9F29F524184A13BE26818BD","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","E8D89F15B22AD48ADD794F6F0FAAEAD5ACA9D429F2DE6FD695672E2C61EA3C26"
"12","tlat_rc2_growth_150","tlat_rc2_growth_150","growth","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","1.50","0.675","0.225","0.15","1.125","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\012_tlat_rc2_growth_150_continuous_2015_2026_m4.ini","tlat_rc2_growth_150_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_150_continuous_2015_2026_m4","81F11BAFB131F9CDB9E482B99DA6A23DB79B73CDA67BB6309E307C4ACA8A7337","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","E8D89F15B22AD48ADD794F6F0FAAEAD5ACA9D429F2DE6FD695672E2C61EA3C26"
"13","tlat_rc2_growth_200","tlat_rc2_growth_200","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","2.00","0.90","0.30","0.20","1.50","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\013_tlat_rc2_growth_200_older_2015_2018_m4.ini","tlat_rc2_growth_200_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_200_older_2015_2018_m4","0F41744D331B6C35772EE695EEA5D40E1AA263C54F784D92A68980B97F4AC80F","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","AEAB2A8D380C6CA18843CA45C7113679021C4CBF00C666480B34A1112B97C1BD"
"14","tlat_rc2_growth_200","tlat_rc2_growth_200","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","2.00","0.90","0.30","0.20","1.50","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\014_tlat_rc2_growth_200_middle_2019_2022_m4.ini","tlat_rc2_growth_200_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_200_middle_2019_2022_m4","5CA2B56B995DC53AC60E367FF97CC5E4887E511183034120ABB2DAE648CCA270","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","AEAB2A8D380C6CA18843CA45C7113679021C4CBF00C666480B34A1112B97C1BD"
"15","tlat_rc2_growth_200","tlat_rc2_growth_200","growth","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","2.00","0.90","0.30","0.20","1.50","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\015_tlat_rc2_growth_200_recent_2023_2026_m4.ini","tlat_rc2_growth_200_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_200_recent_2023_2026_m4","7CE9992E9EB326DF82DC2370D290081D015E75F374E532175D37E2644B7C340D","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","AEAB2A8D380C6CA18843CA45C7113679021C4CBF00C666480B34A1112B97C1BD"
"16","tlat_rc2_growth_200","tlat_rc2_growth_200","growth","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","2.00","0.90","0.30","0.20","1.50","outputs\three_lane_trade_ready_rc2_growth_model4_package\configs\016_tlat_rc2_growth_200_continuous_2015_2026_m4.ini","tlat_rc2_growth_200_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_model4_package\reports_here\tlat_rc2_growth_200_continuous_2015_2026_m4","2F89C39A8677C6C509230463B4700294790893E882D4DFD0271C9DD68FEF86D4","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","AEAB2A8D380C6CA18843CA45C7113679021C4CBF00C666480B34A1112B97C1BD"
