"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","tpg_rv045_mo015_control","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","older_2015_2018","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\001_tpg_rv045_mo015_control_older_2015_2018_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\001_tpg_rv045_mo015_control_older_2015_2018_m1.ini","tpg_rv045_mo015_control_older_2015_2018_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_older_2015_2018_m1","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"2","tpg_rv045_mo015_control","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","middle_2019_2022","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\002_tpg_rv045_mo015_control_middle_2019_2022_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\002_tpg_rv045_mo015_control_middle_2019_2022_m1.ini","tpg_rv045_mo015_control_middle_2019_2022_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_middle_2019_2022_m1","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"3","tpg_rv045_mo015_control","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","recent_2023_2026","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\003_tpg_rv045_mo015_control_recent_2023_2026_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\003_tpg_rv045_mo015_control_recent_2023_2026_m1.ini","tpg_rv045_mo015_control_recent_2023_2026_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_recent_2023_2026_m1","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"4","tpg_rv045_mo015_control","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","continuous_2015_2026","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\004_tpg_rv045_mo015_control_continuous_2015_2026_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\004_tpg_rv045_mo015_control_continuous_2015_2026_m1.ini","tpg_rv045_mo015_control_continuous_2015_2026_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_continuous_2015_2026_m1","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"5","tpg_rv050_mo010","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","older_2015_2018","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\005_tpg_rv050_mo010_older_2015_2018_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\005_tpg_rv050_mo010_older_2015_2018_m1.ini","tpg_rv050_mo010_older_2015_2018_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_older_2015_2018_m1","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"6","tpg_rv050_mo010","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","middle_2019_2022","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\006_tpg_rv050_mo010_middle_2019_2022_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\006_tpg_rv050_mo010_middle_2019_2022_m1.ini","tpg_rv050_mo010_middle_2019_2022_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_middle_2019_2022_m1","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"7","tpg_rv050_mo010","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","recent_2023_2026","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\007_tpg_rv050_mo010_recent_2023_2026_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\007_tpg_rv050_mo010_recent_2023_2026_m1.ini","tpg_rv050_mo010_recent_2023_2026_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_recent_2023_2026_m1","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"8","tpg_rv050_mo010","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","continuous_2015_2026","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\008_tpg_rv050_mo010_continuous_2015_2026_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\008_tpg_rv050_mo010_continuous_2015_2026_m1.ini","tpg_rv050_mo010_continuous_2015_2026_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_continuous_2015_2026_m1","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"9","tpg_rv050_mo015","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","older_2015_2018","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\009_tpg_rv050_mo015_older_2015_2018_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\009_tpg_rv050_mo015_older_2015_2018_m1.ini","tpg_rv050_mo015_older_2015_2018_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo015_older_2015_2018_m1","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"10","tpg_rv050_mo015","growth_discovery_model1","Transferable two-lane growth allocation discovery Model1","middle_2019_2022","1","10000","outputs\transferable_portfolio_growth_discovery_model1_package\configs\010_tpg_rv050_mo015_middle_2019_2022_m1.ini","outputs\transferable_portfolio_growth_discovery_model1_package\configs\010_tpg_rv050_mo015_middle_2019_2022_m1.ini","tpg_rv050_mo015_middle_2019_2022_m1","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo015_middle_2019_2022_m1","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
