"QueueRank","Candidate","CandidateRank","Control","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","StopRule"
"1","tpg_rv045_mo015_control","1","True","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv045_mo015_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_tpg_rv045_mo015_control_older_2015_2018_m1.ini","tpg_rv045_mo015_control_older_2015_2018_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"2","tpg_rv045_mo015_control","1","True","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv045_mo015_control.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\002_tpg_rv045_mo015_control_middle_2019_2022_m1.ini","tpg_rv045_mo015_control_middle_2019_2022_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"3","tpg_rv045_mo015_control","1","True","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv045_mo015_control.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\003_tpg_rv045_mo015_control_recent_2023_2026_m1.ini","tpg_rv045_mo015_control_recent_2023_2026_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"4","tpg_rv045_mo015_control","1","True","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv045_mo015_control.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\004_tpg_rv045_mo015_control_continuous_2015_2026_m1.ini","tpg_rv045_mo015_control_continuous_2015_2026_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"5","tpg_rv050_mo010","2","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo010.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_tpg_rv050_mo010_older_2015_2018_m1.ini","tpg_rv050_mo010_older_2015_2018_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"6","tpg_rv050_mo010","2","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo010.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\006_tpg_rv050_mo010_middle_2019_2022_m1.ini","tpg_rv050_mo010_middle_2019_2022_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"7","tpg_rv050_mo010","2","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo010.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\007_tpg_rv050_mo010_recent_2023_2026_m1.ini","tpg_rv050_mo010_recent_2023_2026_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"8","tpg_rv050_mo010","2","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo010.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\008_tpg_rv050_mo010_continuous_2015_2026_m1.ini","tpg_rv050_mo010_continuous_2015_2026_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"9","tpg_rv050_mo015","3","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo015.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_tpg_rv050_mo015_older_2015_2018_m1.ini","tpg_rv050_mo015_older_2015_2018_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"10","tpg_rv050_mo015","3","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo015.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\010_tpg_rv050_mo015_middle_2019_2022_m1.ini","tpg_rv050_mo015_middle_2019_2022_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
