"QueueRank","Candidate","CandidateRank","Control","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"1","tpg_rv045_mo015_control","1","True","growth_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_tpg_rv045_mo015_control_older_2015_2018_m1.ini","tpg_rv045_mo015_control_older_2015_2018_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_older_2015_2018_m1.htm","F1BEE1DE36964B31AE991D6E5D3B3B58CADD59A780AC108E4C45AD7120F1A930","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.37","46.05","152","5","105.51","1.01","75.68","105.51","7.7215","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"2","tpg_rv045_mo015_control","1","True","growth_discovery_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\002_tpg_rv045_mo015_control_middle_2019_2022_m1.ini","tpg_rv045_mo015_control_middle_2019_2022_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_middle_2019_2022_m1.htm","6C65CE881DE9ACC99F2A48482F279568B0164AA2D816438F3EA2E3BFB48D4E25","10000","1460","3.9973","239.64","10239.64","2.4","0.6","0.59","1.22","1.74","2.2","36.96","138","8","374.68","3.68","313.94","374.68","0.6396","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"3","tpg_rv045_mo015_control","1","True","growth_discovery_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\003_tpg_rv045_mo015_control_recent_2023_2026_m1.ini","tpg_rv045_mo015_control_recent_2023_2026_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_recent_2023_2026_m1.htm","8BF5F041D37800842BACBFA74A859978C5A726567F98B6660DE45E5631C256D9","10000","1292","3.5373","553.67","10553.67","5.54","1.57","1.54","1.95","7.01","4.69","46.84","79","6","141.38","1.35","102.14","141.38","3.9162","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"4","tpg_rv045_mo015_control","1","True","growth_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\004_tpg_rv045_mo015_control_continuous_2015_2026_m1.ini","tpg_rv045_mo015_control_continuous_2015_2026_m1","profiles\tpg_rv045_mo015_control.set","269AEB121CFC5738F37CBD5D71928C4C83014B78341D0933183320924762A7C3","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.45","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv045_mo015_control_continuous_2015_2026_m1.htm","8E271A2FCF587CAD4EB3565CFA83512EC4F13CEF2335963A81CDD811D9E472D0","10000","4214","11.5373","1616.49","11616.49","16.16","1.4","1.31","1.58","4.37","4.41","42.7","370","8","354.75","3.24","290.61","354.75","4.5567","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"5","tpg_rv050_mo010","2","False","growth_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_tpg_rv050_mo010_older_2015_2018_m1.ini","tpg_rv050_mo010_older_2015_2018_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_older_2015_2018_m1.htm","E4F928D01EBD5A0ED09035E4267EAB83C07B9D54CA0A1B6DEBA1D990560AC280","10000","1460","3.9973","635.91","10635.91","6.36","1.59","1.55","1.98","4.18","7.06","46.05","152","5","89.79","0.89","67.27","89.79","7.0822","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"6","tpg_rv050_mo010","2","False","growth_discovery_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\006_tpg_rv050_mo010_middle_2019_2022_m1.ini","tpg_rv050_mo010_middle_2019_2022_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_middle_2019_2022_m1.htm","B91C6186A67FA883FEC6C08E87872B30607A280C5B2C07202CEF3E9821B4B190","10000","1460","3.9973","283.82","10283.82","2.84","0.71","0.7","1.32","2.06","2.7","36.96","138","8","371.98","3.68","316.33","371.98","0.763","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"7","tpg_rv050_mo010","2","False","growth_discovery_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\007_tpg_rv050_mo010_recent_2023_2026_m1.ini","tpg_rv050_mo010_recent_2023_2026_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_recent_2023_2026_m1.htm","C4BEEAA4425477C1AF7A9C6EBFACFB920B8375913EA83319FE38A2828D213EA1","10000","1292","3.5373","512.56","10512.56","5.13","1.45","1.42","2","6.49","4.2","46.84","79","6","150.4","1.47","123.27","150.4","3.408","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"8","tpg_rv050_mo010","2","False","growth_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\008_tpg_rv050_mo010_continuous_2015_2026_m1.ini","tpg_rv050_mo010_continuous_2015_2026_m1","profiles\tpg_rv050_mo010.set","09CA70FB2B2B2ED2C99EE57648E09EBD43594167D94CF5243AF63AE41CD7A155","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo010_continuous_2015_2026_m1.htm","52F94E4770B6354A489BFAB8C56CF539B62270928F4F08F6BB230C03CCB5FD4B","10000","4214","11.5373","1439.86","11439.86","14.4","1.25","1.17","1.68","3.89","4.07","42.7","370","8","417.94","3.88","353.26","417.94","3.4451","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"9","tpg_rv050_mo015","3","False","growth_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_tpg_rv050_mo015_older_2015_2018_m1.ini","tpg_rv050_mo015_older_2015_2018_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo015_older_2015_2018_m1.htm","28B8A041A1369970AC90BD519AAFE3C45831833C96F93819C3614D8A1833227A","10000","1460","3.9973","810.14","10810.14","8.1","2.03","1.97","1.86","5.33","7.3","46.05","152","5","105.51","1.01","75.68","105.51","7.6783","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"10","tpg_rv050_mo015","3","False","growth_discovery_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\010_tpg_rv050_mo015_middle_2019_2022_m1.ini","tpg_rv050_mo015_middle_2019_2022_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo015_middle_2019_2022_m1.htm","654AF6C7EAAAFDA5935DF3D9312A7A9071C7D0486CE7A66367BDA98CC3CD83D8","10000","1460","3.9973","242.85","10242.85","2.43","0.61","0.6","1.21","1.76","2.12","36.96","138","8","398.9","3.92","334.76","398.9","0.6088","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
