"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","Started","Finished"
"1","1","tlr_control_q0","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_control_q0_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","True","2026-07-17T23:41:44","2026-07-17T23:42:04"
"2","2","tlr_control_q0","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_control_q0_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","True","2026-07-17T23:41:44","2026-07-17T23:42:03"
"3","3","tlr_control_q0","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_control_q0_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","True","2026-07-17T23:41:44","2026-07-17T23:42:05"
"4","4","tlr_control_q0","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_control_q0_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:44:27","2026-07-17T23:44:41"
"1","5","tlr_center_q14","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_center_q14_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","False","2026-07-17T23:42:04","2026-07-17T23:42:22"
"2","6","tlr_center_q14","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_center_q14_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:42:03","2026-07-17T23:42:18"
"3","7","tlr_center_q14","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_center_q14_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:42:05","2026-07-17T23:42:21"
"4","8","tlr_center_q14","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_center_q14_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:44:41","2026-07-17T23:44:53"
"1","9","tlr_q07","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q07_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","False","2026-07-17T23:42:22","2026-07-17T23:42:38"
"2","10","tlr_q07","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q07_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:42:18","2026-07-17T23:42:32"
"3","11","tlr_q07","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q07_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:42:21","2026-07-17T23:42:36"
"4","12","tlr_q07","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q07_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:42:17","2026-07-17T23:42:31"
"1","13","tlr_q21","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","False","2026-07-17T23:42:38","2026-07-17T23:42:52"
"2","14","tlr_q21","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:42:32","2026-07-17T23:42:46"
"3","15","tlr_q21","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:42:36","2026-07-17T23:42:50"
"4","16","tlr_q21","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:42:31","2026-07-17T23:42:45"
