"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2015","2015.01.01","2015.12.31","1","configs\001_two_lane_risk010_2015_m1.ini","two_lane_risk010_2015_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2015_m1.htm","10000","364","0.9966","-3.39","9996.61","-0.03","-0.03","-0.03","0","-3.39","-0.62","0","1","1","4.29","0.04","3.39","4.29","-0.79","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2016","2016.01.01","2016.12.31","1","configs\002_two_lane_risk010_2016_m1.ini","two_lane_risk010_2016_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2016_m1.htm","10000","365","0.9993","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2017","2017.01.01","2017.12.31","1","configs\003_two_lane_risk010_2017_m1.ini","two_lane_risk010_2017_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2017_m1.htm","10000","364","0.9966","-3.29","9996.71","-0.03","-0.03","-0.03","0","-3.29","-0.14","0","1","1","3.81","0.04","3.29","3.81","-0.86","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2018","2018.01.01","2018.12.31","1","configs\004_two_lane_risk010_2018_m1.ini","two_lane_risk010_2018_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2018_m1.htm","10000","364","0.9966","30.32","10030.32","0.3","0.3","0.3","0","15.16","1.2","100","2","0","9.75","0.1","0","9.75","3.11","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2019","2019.01.01","2019.12.31","1","configs\005_two_lane_risk010_2019_m1.ini","two_lane_risk010_2019_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2019_m1.htm","10000","364","0.9966","-3.13","9996.87","-0.03","-0.03","-0.03","0","-3.13","-0.27","0","1","1","3.13","0.03","3.13","3.13","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2020","2020.01.01","2020.12.31","1","configs\006_two_lane_risk010_2020_m1.ini","two_lane_risk010_2020_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2020_m1.htm","10000","365","0.9993","116.39","10116.39","1.16","1.16","1.16","4.63","12.93","5.1","66.67","9","1","39.15","0.39","23.26","39.15","2.97","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2021","2021.01.01","2021.12.31","1","configs\007_two_lane_risk010_2021_m1.ini","two_lane_risk010_2021_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2021_m1.htm","10000","364","0.9966","129.12","10129.12","1.29","1.3","1.3","7.71","18.45","2.75","57.14","7","1","35.25","0.35","13.85","35.25","3.66","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2022","2022.01.01","2022.12.31","1","configs\008_two_lane_risk010_2022_m1.ini","two_lane_risk010_2022_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2022_m1.htm","10000","364","0.9966","41.14","10041.14","0.41","0.41","0.41","1.79","3.74","3.47","36.36","11","3","28.6","0.29","25.95","28.6","1.44","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2023","2023.01.01","2023.12.31","1","configs\009_two_lane_risk010_2023_m1.ini","two_lane_risk010_2023_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2023_m1.htm","10000","364","0.9966","34.28","10034.28","0.34","0.34","0.34","3.35","5.71","0.71","66.67","6","2","30.5","0.3","14.6","30.5","1.12","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","two_lane_risk010","1","two_lane_yearly_model1","1","yearly_model1_gate","two_lane_risk010.set","2024","2024.01.01","2024.12.31","1","configs\010_two_lane_risk010_2024_m1.ini","two_lane_risk010_2024_m1","profiles\two_lane_risk010.set","7CABA7BFB0C24BE307B261E892F36D7F8C5609B4265E5951543487E95EBDA44D","Reject promotion for material red active years, weak PF, missing reports, or unstable neighboring risk behavior.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\two_lane_risk010_2024_m1.htm","10000","365","0.9993","66.19","10066.19","0.66","0.66","0.66","2.87","9.46","1.78","42.86","7","2","31.75","0.32","17.25","31.75","2.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
