Year,Period,Trades,StartingBalance,NetProfit,EndingBalance,ReturnPercent,ProfitFactor
2015,Full year,21,10000.00,155.07,10155.07,1.551,2.039
2016,Full year,36,10155.07,209.32,10364.39,2.061,2.041
2017,Full year,46,10364.39,170.94,10535.33,1.649,1.507
2018,Full year,50,10535.33,270.77,10806.10,2.570,2.028
2019,Full year,33,10806.10,-38.30,10767.80,-0.354,0.825
2020,Full year,31,10767.80,-44.44,10723.36,-0.413,0.891
2021,Full year,30,10723.36,359.78,11083.14,3.355,2.500
2022,Full year,36,11083.14,40.07,11123.21,0.362,1.170
2023,Full year,40,11123.21,144.99,11268.20,1.303,1.492
2024,Full year,31,11268.20,132.90,11401.10,1.179,1.452
2025,Full year,6,11401.10,5.08,11406.18,0.045,1.042
2026,Partial through 2026-07-16,2,11406.18,209.18,11615.36,1.834,INF
