"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"block115_base","7","7","1759.56","806.46","98.84","153.9","806.46","-106.1","-106.1","1"
"block_base","7","7","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"block115_pmd_body35_range","7","7","929.05","563.97","-233.19","140.4","563.97","-106.1","-233.19","2"
"block115_pmd_body50","7","7","912.63","563.97","-249.61","140.4","563.97","-106.1","-249.61","2"
"block115_pmd_body35","7","7","912.63","563.97","-249.61","140.4","563.97","-106.1","-249.61","2"
"block_pmd_strict","7","7","1239.74","563.23","84.72","113.44","563.23","-84.88","-84.88","1"
"block_pmd_body35_range","7","7","925.82","558.95","-220.64","113.44","558.95","-84.88","-220.64","2"
"block_pmd_body35","7","7","909.4","558.95","-237.06","113.44","558.95","-84.88","-237.06","2"
"block_pmd_body50","7","7","909.4","558.95","-237.06","113.44","558.95","-84.88","-237.06","2"
"block115_pmd_strict","7","7","1231.32","549.09","98.84","140.4","549.09","-106.1","-106.1","1"
