"Priority","Profile","Phase2Seed","Settings","Overrides"
"1","baseline_promoted","True","work\generated_profit_search\profiles\baseline_promoted.set",""
"2","baseline_dd4","True","work\generated_profit_search\profiles\baseline_dd4.set","InpMaxEquityDrawdownPercent=4.00"
"3","tp38_sl18","True","work\generated_profit_search\profiles\tp38_sl18.set","InpMaxEquityDrawdownPercent=4.00;InpTakeProfitATRMultiplier=3.80"
"4","tp42_sl18","True","work\generated_profit_search\profiles\tp42_sl18.set","InpMaxEquityDrawdownPercent=4.00;InpTakeProfitATRMultiplier=4.20"
"5","tp38_sl16","True","work\generated_profit_search\profiles\tp38_sl16.set","InpMaxEquityDrawdownPercent=4.00;InpStopATRMultiplier=1.60;InpTakeProfitATRMultiplier=3.80"
"6","tp42_sl16","True","work\generated_profit_search\profiles\tp42_sl16.set","InpMaxEquityDrawdownPercent=4.00;InpStopATRMultiplier=1.60;InpTakeProfitATRMultiplier=4.20"
"7","tp45_sl18","False","work\generated_profit_search\profiles\tp45_sl18.set","InpMaxEquityDrawdownPercent=4.00;InpTakeProfitATRMultiplier=4.50"
"8","tp38_sl20","False","work\generated_profit_search\profiles\tp38_sl20.set","InpMaxEquityDrawdownPercent=4.00;InpStopATRMultiplier=2.00;InpTakeProfitATRMultiplier=3.80"
"9","trail14_tp38","False","work\generated_profit_search\profiles\trail14_tp38.set","InpMaxEquityDrawdownPercent=4.00;InpTakeProfitATRMultiplier=3.80;InpTrailATRMultiplier=1.40"
"10","trail18_tp38","False","work\generated_profit_search\profiles\trail18_tp38.set","InpMaxEquityDrawdownPercent=4.00;InpTakeProfitATRMultiplier=3.80;InpTrailATRMultiplier=1.80"
"11","rr18_tp42","False","work\generated_profit_search\profiles\rr18_tp42.set","InpMaxEquityDrawdownPercent=4.00;InpMinRiskReward=1.80;InpTakeProfitATRMultiplier=4.20"
"12","risk18_tp38_sl18","False","work\generated_profit_search\profiles\risk18_tp38_sl18.set","InpMaxEquityDrawdownPercent=4.00;InpRiskPercent=1.80;InpTakeProfitATRMultiplier=3.80"
"13","risk20_tp38_sl18","False","work\generated_profit_search\profiles\risk20_tp38_sl18.set","InpMaxEquityDrawdownPercent=4.00;InpRiskPercent=2.00;InpTakeProfitATRMultiplier=3.80"
"14","risk14_tp42_sl16","False","work\generated_profit_search\profiles\risk14_tp42_sl16.set","InpMaxEquityDrawdownPercent=4.00;InpRiskPercent=1.40;InpStopATRMultiplier=1.60;InpTakeProfitATRMultiplier=4.20"
"15","giveback25_tp38","False","work\generated_profit_search\profiles\giveback25_tp38.set","InpMaxEquityDrawdownPercent=4.00;InpDailyProfitGivebackPercent=25.0;InpMonthlyProfitGivebackPercent=25.0;InpTakeProfitATRMultiplier=3.80;InpUseProfitGivebackGuard=true;InpWeeklyProfitGivebackPercent=25.0"
"16","giveback35_tp38","False","work\generated_profit_search\profiles\giveback35_tp38.set","InpMaxEquityDrawdownPercent=4.00;InpTakeProfitATRMultiplier=3.80;InpUseProfitGivebackGuard=true"
"17","be12_tp38","False","work\generated_profit_search\profiles\be12_tp38.set","InpMaxEquityDrawdownPercent=4.00;InpBreakEvenBufferPoints=20;InpBreakEvenTriggerR=1.20;InpTakeProfitATRMultiplier=3.80;InpUseBreakEven=true"
